filename,ground_truth,normalized_transcripts
5348024557506216_f548_chunk_0_subchunk_1.wav,मुझे मुंशी प्रेमचंद के द्वारा रचित पुस्तकें बहुत पसंद हैं जिसमें,मुझे मुंशी प्रेमचंद के द्वारा रचित पुस्तकें बहुत पसंद हैं जिसमें
5348024557506216_f548_chunk_1_subchunk_1.wav,इसमें,इसमें
5348024557506216_f548_chunk_2_subchunk_1.wav,मुझे ईदगाह की कहानी,मुझे ईदगाह की कहानी
5348024557506216_f548_chunk_3_subchunk_1.wav,जिसमें एक बच्चे,जिसमें एक बच्चे
5348024557506216_f548_chunk_4_subchunk_1.wav,जो माँ द्वारा प्राप्त पैसों से मेला घूमने जाता है और वहाँ मेला में उसके जितने पैसे,जो माँ द्वारा प्राप्त पैसों से मेला घूमने जाता है और वहाँ मेला में उसके जितने पैसे
5348024557506216_f548_chunk_5_subchunk_1.wav,तो इस कहानी के माध्यम से पुत्र और माँ और पुत्र के प्रेम की,तो इस कहानी के माध्यम से पुत्र और माँ और पुत्र के प्रेम की
5348024557506216_f548_chunk_6_subchunk_1.wav,प्रेमचंद द्वारा रचित पुस्तकों,प्रेमचंद द्वारा रचित पुस्तकों
5348024557506216_f548_chunk_7_subchunk_1.wav,पूस की रात,पूस की रात
5348024557506216_f548_chunk_8_subchunk_1.wav,इंसान की कहानी दिखाई बताई गई है जिसमें उसने पूस की,इंसान की कहानी दिखाई बताई गई है जिसमें उसने पूस की
5348024557506219_f1442_chunk_0_subchunk_1.wav,हिंदू देवताओं के नग्न चित्रण और भारत माता के नग्न चित्रण सहित,हिंदू देवताओं के नग्न चित्रण और भारत माता के नग्न चित्रण सहित
5348024557506220_f1441_chunk_0_subchunk_1.wav,रंगीला नाइन्टीन नाइन्टी फ़ाइव की बॉक्स ऑफ़िस पर,रंगीला नाइन्टीन नाइन्टी फ़ाइव की बॉक्स ऑफ़िस पर
5348024557506223_f1444_chunk_0_subchunk_1.wav,मैं अरिजीत के गाने सुनना,मैं अरिजीत के गाने सुनना
5348024557506225_f1443_chunk_0_subchunk_1.wav,क्या आप मुझे कल मेरी मुलाकात,क्या आप मुझे कल मेरी मुलाकात
5348024557506228_f1189_chunk_0_subchunk_1.wav,मैं लाना ग्रीन बोर्ड ग्रीन टी कुबेर इंडस्ट्रीज़ डिज़्नी प्रिंटेड कैनवस लॉन्ड्री बैग और बेल्ला,मैं लाना ग्रीन बोर्ड ग्रीन टी कुबेर इंडस्ट्रीज़ डिज़्नी प्रिंटेड कैनवस लॉन्ड्री बैग और बेल्ला
5348024557506229_f1451_chunk_0_subchunk_1.wav,क्या मिल्टन श्रेणी में,क्या मिल्टन श्रेणी में
5348024557506231_f1452_chunk_0_subchunk_1.wav,मेरे महाराष्ट्र ग्रामीण बैंक,मेरे महाराष्ट्र ग्रामीण बैंक
5348024557506232_f834_chunk_0_subchunk_1.wav,पिछले सात महीनों की,पिछले सात महीनों की
5348024557506236_f1448_chunk_0_subchunk_1.wav,वर्तमान में बठिंडा ज़िले में कोई,वर्तमान में बठिंडा ज़िले में कोई
5348024557506238_f1447_chunk_0_subchunk_1.wav,मैं ज़िले मैसूर में सशुल्क टीका ढूँढने की कोशिश,मैं ज़िले मैसूर में सशुल्क टीका ढूँढने की कोशिश
5348024557506240_f1449_chunk_0_subchunk_1.wav,,
5348024557506245_f1450_chunk_0_subchunk_1.wav,,
5348024557506263_f70_chunk_0_subchunk_1.wav,नहीं ऐसा एक्सपीरियंस मुझे nheen हुआ है,नहीं ऐसा एक्सपीरियंस मुझे nheen हुआ है
5348024557506269_f234_chunk_0_subchunk_1.wav,मैं मानती हूँ कि हमारा जो युवा प्रजन में है वह भी हमारे klchrl प्रैक्टिस को phॉlo करते हैं यह सही nheen है कि वह लोग मानते नहीं हैं लेकिन उन लोगों का तरीका थोड़ा अलग हो सकता है,मैं मानती हूँ कि हमारा जो युवा प्रजन में है वह भी हमारे klchrl प्रैक्टिस को phॉlo करते हैं यह सही nheen है कि वह लोग मानते नहीं हैं लेकिन उन लोगों का तरीका थोड़ा अलग हो सकता है
5348024557506271_f442_chunk_0_subchunk_1.wav,नहीं ऐसा कोई ऑर्गनाइजेशन नहीं hai,नहीं ऐसा कोई ऑर्गनाइजेशन नहीं hai
5348024557506273_f441_chunk_0_subchunk_1.wav,मेरे एरिया का कुछ लोकगीत है bihoo झुमुर और बोडो और karbi लोगों का जो लोकल संगीत है वह है,मेरे एरिया का कुछ लोकगीत है bihoo झुमुर और बोडो और karbi लोगों का जो लोकल संगीत है वह है
5348024557506274_f71_chunk_0_subchunk_1.wav,nheen है,nheen है
5348024557506275_f440_chunk_0_subchunk_1.wav,is बारे में मेरी जानकारी नहीं है,is बारे में मेरी जानकारी नहीं है
5348024557506276_f72_chunk_0_subchunk_1.wav,हमारे राज्य में जो काजीरंगा राष्ट्रीय उद्यान hai उसमें जो वन हॉर्न राइनों है वह बाकी स्तेत में नहीं पाए jate हैं,हमारे राज्य में जो काजीरंगा राष्ट्रीय उद्यान hai उसमें जो वन हॉर्न राइनों है वह बाकी स्तेत में नहीं पाए jate हैं
5348024557506277_f1975_chunk_0_subchunk_1.wav,दूल्हा शहद सबसे मीठा और सबसे achchha होता है,दूल्हा शहद सबसे मीठा और सबसे achchha होता है
5348024557506278_f1976_chunk_0_subchunk_1.wav,यह पाम वैली के पास rashtreey राजमार्ग सात से जुड़ा है,यह पाम वैली के पास rashtreey राजमार्ग सात से जुड़ा है
5348024557506283_f2221_chunk_0_subchunk_1.wav,क्या बाउंटी seeज़ज़lrs डिलीवर करते हैं,क्या बाउंटी seeज़ज़lrs डिलीवर करते हैं
5348024557506284_f1590_chunk_0_subchunk_1.wav,aakhiree सूचीबद्ध चीज़ को मिटा दो,aakhiree सूचीबद्ध चीज़ को मिटा दो
5348024557506287_f1007_chunk_0_subchunk_1.wav,क्या bingo पोटैटो चिप्स पर कोई ऑफ़र है,क्या bingo पोटैटो चिप्स पर कोई ऑफ़र है
5348024557506288_f1981_chunk_0_subchunk_1.wav,डिलीवर कि गई चीज़ों में aary आर्गेनिक जेगरी पाउडर के कुछ डिब्बे गायब हैं,डिलीवर कि गई चीज़ों में aary आर्गेनिक जेगरी पाउडर के कुछ डिब्बे गायब हैं
5348024557506289_f2225_chunk_0_subchunk_1.wav,क्या आप मेरे क्रेडिट kard और वाई फ़ाई बिल का अगले छ महीनों के लिए svth भुगतान कर सकते हैं,क्या आप मेरे क्रेडिट kard और वाई फ़ाई बिल का अगले छ महीनों के लिए svth भुगतान कर सकते हैं
5348024557506292_f940_chunk_0_subchunk_1.wav,क्या आप इस kyoo आर kod को स्कैन कर सकते हैं और मेरे मध्यांचल ग्रामीण बैंक खाते को प्रमाणित कर सकते हैं,क्या आप इस kyoo आर kod को स्कैन कर सकते हैं और मेरे मध्यांचल ग्रामीण बैंक खाते को प्रमाणित कर सकते हैं
5348024557506294_f2226_chunk_0_subchunk_1.wav,mere ई पी एफ़ o पंजीकृत मोबाइल नम्बर छ पाँच तीन नौ आठ तीन आठ नौ पाँच सात चार पर ओ टी पी दोबारा भेजें,mere ई पी एफ़ o पंजीकृत मोबाइल नम्बर छ पाँच तीन नौ आठ तीन आठ नौ पाँच सात चार पर ओ टी पी दोबारा भेजें
5348024557506296_f1078_chunk_0_subchunk_1.wav,मोबाइल नम्बर आठ सात नौ नौ दो नौ पाँच सात शून्य छः char के lie कोविन में लॉगिन करने के लिए ओ टी पी आठ चार paँch चार छः शून्य है,मोबाइल नम्बर आठ सात नौ नौ दो नौ पाँच सात शून्य छः char के lie कोविन में लॉगिन करने के लिए ओ टी पी आठ चार paँch चार छः शून्य है
5348024557506297_f1978_chunk_0_subchunk_1.wav,pkshee,pkshee
5348024557506305_f1979_chunk_0_subchunk_1.wav,chhod़o,chhod़o
5348024557506324_f709_chunk_0_subchunk_1.wav,मैं seeniree,मैं seeniree
5348024557506324_f709_chunk_1_subchunk_1.wav,जो है वह अच्छी तरह से ड्रॉ कर सकती हूँ कलर कॉम्बिनेशन मेरा achchha होता है पर मैं jb कोई फोटो,जो है वह अच्छी तरह से ड्रॉ कर सकती हूँ कलर कॉम्बिनेशन मेरा achchha होता है पर मैं jb कोई फोटो
5348024557506324_f709_chunk_2_subchunk_1.wav,पिक्चर्स होता है और ड्रॉ करने ke लिए बैठती हूँ तब मेरा,पिक्चर्स होता है और ड्रॉ करने ke लिए बैठती हूँ तब मेरा
5348024557506324_f709_chunk_3_subchunk_1.wav,हैर और चीन तक का ड्राइंग अच्छा रहता है लेकिन jb मैं नाक पर आती हूँ तब मेरा वह नाक अच्छा नहीं होता है इसलिए मैं कोई पिक्चर्स ड्रॉ करना nheen चाहती हूँ seenree,हैर और चीन तक का ड्राइंग अच्छा रहता है लेकिन jb मैं नाक पर आती हूँ तब मेरा वह नाक अच्छा नहीं होता है इसलिए मैं कोई पिक्चर्स ड्रॉ करना nheen चाहती हूँ seenree
5348024557506324_f709_chunk_4_subchunk_1.wav,ड्रॉ करना मुझे अच्छा lgta है,ड्रॉ करना मुझे अच्छा lgta है
5348024557506325_f707_chunk_0_subchunk_1.wav,हाँ हमारे गाँव में एक तालाब है और us तालाब का पानी हम,हाँ हमारे गाँव में एक तालाब है और us तालाब का पानी हम
5348024557506325_f707_chunk_1_subchunk_1.wav,खेती करने ke लिए इस्तेमाल करते हैं,खेती करने ke लिए इस्तेमाल करते हैं
5348024557506325_f707_chunk_2_subchunk_1.wav,औ बारिश के दिनों में हम उसको बांध डाल कर वह पूरा स्टोर करके रखते हैं और सर जब grmiyon ke दिनों में हम जब एग्रीकल्चर खेती करने के लिए जाते हैं तब वह बांध छो छोटा सा usko,औ बारिश के दिनों में हम उसको बांध डाल कर वह पूरा स्टोर करके रखते हैं और सर जब grmiyon ke दिनों में हम जब एग्रीकल्चर खेती करने के लिए जाते हैं तब वह बांध छो छोटा सा usko
5348024557506325_f707_chunk_3_subchunk_1.wav,जो part होता है वह निकालते हैं पूरा नहीं निकालते हैं और छोटा sa बाएँ निकाल कर उसका पानी हम थोड़ा थोड़ा इस्तेमाल करके हम एग्री एग्रीकल्चर करते हैं,जो part होता है वह निकालते हैं पूरा नहीं निकालते हैं और छोटा sa बाएँ निकाल कर उसका पानी हम थोड़ा थोड़ा इस्तेमाल करके हम एग्री एग्रीकल्चर करते हैं
5348024557506329_f655_chunk_0_subchunk_1.wav,हमारे गाँव में म्हार लोग रहते हैं vh म्हार जो है वह मारवाड़ बनाते हैं मारवाड़ यानी बाम्बू के,हमारे गाँव में म्हार लोग रहते हैं vh म्हार जो है वह मारवाड़ बनाते हैं मारवाड़ यानी बाम्बू के
5348024557506329_f655_chunk_10_subchunk_1.wav,लगाते थे वह bhat,लगाते थे वह bhat
5348024557506329_f655_chunk_11_subchunk_1.wav,भर कर vhaँ जो जहाँ पर वह यह करते कट करते थे n वह घर पर लाने के लिए वह खोटले men डाल कर घर पर ले कर आते थे,भर कर vhaँ जो जहाँ पर वह यह करते कट करते थे n वह घर पर लाने के लिए वह खोटले men डाल कर घर पर ले कर आते थे
5348024557506329_f655_chunk_12_subchunk_1.wav,yh जो आर्ट है वह हमारे गाँव का फ़ems आर्ट है और वह लोग अपने बच्चों को वह सिखाते ही हैं क्योंकि हिन्दू धर्म के lie हमारे जो कल्चर के लिए हम वह भारवाड हमें वह चाहिए होता है,yh जो आर्ट है वह हमारे गाँव का फ़ems आर्ट है और वह लोग अपने बच्चों को वह सिखाते ही हैं क्योंकि हिन्दू धर्म के lie हमारे जो कल्चर के लिए हम वह भारवाड हमें वह चाहिए होता है
5348024557506329_f655_chunk_1_subchunk_1.wav,बाम्बू से बनाते hain,बाम्बू से बनाते hain
5348024557506329_f655_chunk_2_subchunk_1.wav,vh मारवाड़ हमें शादी के लिए यूज़ करना pd़ta है उसमें पंखा बनाते हैं और एक थैली बनाते हैं पंखा जो है उसमें दुल्हन को वारा डालते हैं,vh मारवाड़ हमें शादी के लिए यूज़ करना pd़ta है उसमें पंखा बनाते हैं और एक थैली बनाते हैं पंखा जो है उसमें दुल्हन को वारा डालते हैं
5348024557506329_f655_chunk_3_subchunk_1.wav,और मारवड़ वह thailee जो होती है उसमें जो दुल्हा होता है उसमें दिया रखते हैं और दुल्हे को अंदर लेते हैं और एक होती hai वह,और मारवड़ वह thailee जो होती है उसमें जो दुल्हा होता है उसमें दिया रखते हैं और दुल्हे को अंदर लेते हैं और एक होती hai वह
5348024557506329_f655_chunk_4_subchunk_1.wav,एक पैक जैसा होता है पर्स जैसे उसमें जो दुल्हन के सभी knghee काजल,एक पैक जैसा होता है पर्स जैसे उसमें जो दुल्हन के सभी knghee काजल
5348024557506329_f655_chunk_5_subchunk_1.wav,गहने वह सब उसमें डालकर व पर्स जैसी होती है न vh जाते समय देते हैं,गहने वह सब उसमें डालकर व पर्स जैसी होती है न vh जाते समय देते हैं
5348024557506329_f655_chunk_6_subchunk_1.wav,भारवड़ जो हिन्दू dhrm के लिए,भारवड़ जो हिन्दू dhrm के लिए
5348024557506329_f655_chunk_7_subchunk_1.wav,यूज़ करना ही पड़ता hai और वह जेनरेशन तक जनरेशन वह चालू है,यूज़ करना ही पड़ता hai और वह जेनरेशन तक जनरेशन वह चालू है
5348024557506329_f655_chunk_8_subchunk_1.wav,और वह लोग मारवाड़ ही नहीं बल्कि वह सुप्ली bnate हैं वह जो चौबा कोंकणी में हम चौबा खोटलो कहते हैं वह बनाते हैं वह khotle में हम,और वह लोग मारवाड़ ही नहीं बल्कि वह सुप्ली bnate हैं वह जो चौबा कोंकणी में हम चौबा खोटलो कहते हैं वह बनाते हैं वह khotle में हम
5348024557506329_f655_chunk_9_subchunk_1.wav,aadi के लोग भात जो,aadi के लोग भात जो
5348024557506333_f148_chunk_0_subchunk_1.wav,मैं फोंडा ताल्लुका में रहती hooँ फोंडा ताल्लुका में,मैं फोंडा ताल्लुका में रहती hooँ फोंडा ताल्लुका में
5348024557506333_f148_chunk_10_subchunk_1.wav,है जो doosre गाँव में पहुँचता है,है जो doosre गाँव में पहुँचता है
5348024557506333_f148_chunk_11_subchunk_1.wav,हमारे गाँव में तालाब नदी और तीन चार ऐसे स्पॉट हैं जो hm झरने कहते हैं,हमारे गाँव में तालाब नदी और तीन चार ऐसे स्पॉट हैं जो hm झरने कहते हैं
5348024557506333_f148_chunk_12_subchunk_1.wav,उस झरने पर hm जा कर,उस झरने पर hm जा कर
5348024557506333_f148_chunk_13_subchunk_1.wav,bhut सारा,bhut सारा
5348024557506333_f148_chunk_14_subchunk_1.wav,mज़a करते हैं,mज़a करते हैं
5348024557506333_f148_chunk_15_subchunk_1.wav,और जब भी yhaँ पर टूरिस्ट आते हैं तो वह,और जब भी yhaँ पर टूरिस्ट आते हैं तो वह
5348024557506333_f148_chunk_16_subchunk_1.wav,यहाँ जो भी स्पॉट हैं वह देखते हैं और hmare गाँव के नज़दीक ही सावेवेरे gaँv हैं वहाँ पर जाते हैं,यहाँ जो भी स्पॉट हैं वह देखते हैं और hmare गाँव के नज़दीक ही सावेवेरे gaँv हैं वहाँ पर जाते हैं
5348024557506333_f148_chunk_17_subchunk_1.wav,एक बार जब टूरिस्ट यहाँ pr आए थे उनके साथ हमने घूमना पसंद किया और hm उनके साथ वहाँ सावेवेरे गाँव में गए वहाँ का जो नदी में,एक बार जब टूरिस्ट यहाँ pr आए थे उनके साथ हमने घूमना पसंद किया और hm उनके साथ वहाँ सावेवेरे गाँव में गए वहाँ का जो नदी में
5348024557506333_f148_chunk_18_subchunk_1.wav,ek तालाब के अंदर,ek तालाब के अंदर
