verbatim,normalized,duration,scenario,fname,native_language,gender,age_group,native_state,native_district,sp_id,text,lang,task_name,job_category,occupation_domain,occupation,job_type,age-group,qual,qc1_applied
देहली,देहली [Delhi],0.948,Extempore,5348024557504807_f23_chunk_1_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,देहली,hi,Task of Fives,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_4_silence_insertion;QC1_5_upsampling_simulation;QC1_3_sample_rate_reduction;QC1_1_format_conversion
कई सालों से [uhh] मतलब करीब तीस सालों से भी ज़्यादा [uhh] उतने वक़्त से मेरी माँ का एक ही सपना था की हम हमारा एक अपना घर हो,कई सालों से [uhh] मतलब करीब तीस सालों से भी ज़्यादा [uhh] उतने वक़्त से मेरी माँ का एक ही सपना था की हम हमारा एक अपना घर हो,11.967,Extempore,5348024557504811_f482_chunk_0_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,कई सालों से मतलब करीब तीस सालों से भी ज़्यादा उतने वक़्त से मेरी माँ का एक ही सपना था की हम हमारा एक अपना घर हो,hi,Icebreakers,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_3_sample_rate_reduction;QC1_4_silence_insertion;QC1_5_upsampling_simulation;QC1_1_format_conversion
और,और,0.927,Extempore,5348024557504811_f482_chunk_1_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,और,hi,Icebreakers,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_3_sample_rate_reduction;QC1_5_upsampling_simulation;QC1_1_format_conversion
उनका कोई भी [uhh] स्पेसिफ़िक ऐसा कुछ भी नहीं था मतलब जितना भी छोटा हो जैसा भी हो लेकिन हमारा एक घर होना चाहिए बस यही इच्छा थी उनकी,उनका कोई भी [uhh] स्पेसिफ़िक [Specific] ऐसा कुछ भी नहीं था मतलब जितना भी छोटा हो जैसा भी हो लेकिन हमारा एक घर होना चाहिए बस यही इच्छा थी उनकी,11.294,Extempore,5348024557504811_f482_chunk_2_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,उनका कोई भी स्पेसिफ़िक ऐसा कुछ भी नहीं था मतलब जितना भी छोटा हो जैसा भी हो लेकिन हमारा एक घर होना चाहिए बस यही इच्छा थी उनकी,hi,Icebreakers,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_4_silence_insertion;QC1_5_upsampling_simulation;QC1_3_sample_rate_reduction;QC1_1_format_conversion
लेकिन किसी ना किसी वजह से या फिर कुछ प्रॉब्लम्स की वजह से हम घर बनाने का काम शुरू नहीं कर पाए थे और [uhh] उसके लिए [uhh] पैसे भी नहीं थे हमारे पास कुछ साल और,लेकिन किसी न किसी वजह से या फिर कुछ प्रॉब्लम्स [Problems] की वजह से हम घर बनाने का काम शुरू नहीं कर पाए थे और [uhh] उसके लिए [uhh] पैसे भी नहीं थे हमारे पास कुछ साल और,15.711,Extempore,5348024557504811_f482_chunk_3_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,लेकिन किसी न किसी वजह से या फिर कुछ प्रॉब्लम्स की वजह से हम घर बनाने का काम शुरू नहीं कर पाए थे और उसके लिए पैसे भी नहीं थे हमारे पास कुछ साल और,hi,Icebreakers,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_3_sample_rate_reduction;QC1_4_silence_insertion;QC1_1_format_conversion
लेकिन पिछले ही साल ये मेरे माँ का सपना पूरा हुआ फाइनली,लेकिन पिछले ही साल यह मेरे माँ का सपना पूरा हुआ फाइनली [Finally],6.936,Extempore,5348024557504811_f482_chunk_4_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,लेकिन पिछले ही साल यह मेरे माँ का सपना पूरा हुआ फाइनली,hi,Icebreakers,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_5_upsampling_simulation;QC1_4_silence_insertion;QC1_3_sample_rate_reduction;QC1_1_format_conversion
और हम एक घर बनाने में सफल रहे मैंने ही उस की प्लानिंग से लेकर [uhh] उसके घर बन के ख़तम होने तक की पूरी ज़िम्मेदारी उठाई थी,और हम एक घर बनाने में सफल रहे मैंने ही उस की प्लानिंग [Planning] से लेकर [uhh] उसके घर बन कर ख़त्म होने तक की पूरी ज़िम्मेदारी उठाई थी,12.927,Extempore,5348024557504811_f482_chunk_5_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,और हम एक घर बनाने में सफल रहे मैंने ही उस की प्लानिंग से लेकर उसके घर बन कर ख़त्म होने तक की पूरी ज़िम्मेदारी उठाई थी,hi,Icebreakers,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_4_silence_insertion;QC1_3_sample_rate_reduction;QC1_5_upsampling_simulation;QC1_1_format_conversion
और जब भी मैं [uhh] अभी अपनी माँ की आँखों में वो ख़ुशी देखती हूँ वो वो जो सपना पूरा होने का जो सुकून होता है वो देखती हूँ तो मुझे बहुत ही ज़्यादा,और जब भी मैं [uhh] अभी अपनी माँ की आँखों में वह ख़ुशी देखती हूँ वह वह जो सपना पूरा होने का जो सुकून होता है वह देखती हूँ तो मुझे बहुत ही ज़्यादा,14.175,Extempore,5348024557504811_f482_chunk_6_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,और जब भी मैं अभी अपनी माँ की आँखों में वह ख़ुशी देखती हूँ वह वह जो सपना पूरा होने का जो सुकून होता है वह देखती हूँ तो मुझे बहुत ही ज़्यादा,hi,Icebreakers,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_5_upsampling_simulation;QC1_4_silence_insertion;QC1_3_sample_rate_reduction
हाँ मुझे सुकून मिलता है उसको देख के उनको घर से सुकून मिलता है और उनकी सुकून देख के मुझे सुकून मिलता है,हाँ मुझे सुकून मिलता है उसको देख कर उनको घर से सुकून मिलता है और उनकी सुकून देख कर मुझे सुकून मिलता है,7.455,Extempore,5348024557504811_f482_chunk_7_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,हाँ मुझे सुकून मिलता है उसको देख कर उनको घर से सुकून मिलता है और उनकी सुकून देख कर मुझे सुकून मिलता है,hi,Icebreakers,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_3_sample_rate_reduction;QC1_4_silence_insertion;QC1_1_format_conversion
कर्नाटका में हमारा जो ज़िला है हासन ये अन्तर्राष्ट्रीय प्रवासी केंद्र है यहाँ पे जो,कर्नाटक में हमारा जो ज़िला है हासन यह अन्तर्राष्ट्रीय प्रवासी केंद्र है यहाँ पर जो,5.727,Extempore,5348024557504819_f22_chunk_0_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,कर्नाटक में हमारा जो ज़िला है हासन यह अन्तर्राष्ट्रीय प्रवासी केंद्र है यहाँ पर जो,hi,Sports and Travel,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_4_silence_insertion;QC1_5_upsampling_simulation;QC1_3_sample_rate_reduction
बेलुरु हलाईबिडू श्रावण बड़ागोला जैसे जगह है ये अपने वास्तविक कला के लिए,बेलुरु हलेबीडु श्रावण बड़ागोला जैसे जगह है यह अपने वास्तविक कला के लिए,6.111,Extempore,5348024557504819_f22_chunk_1_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,बेलुरु हलेबीडु श्रावण बड़ागोला जैसे जगह है यह अपने वास्तविक कला के लिए,hi,Sports and Travel,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_4_silence_insertion;QC1_5_upsampling_simulation;QC1_1_format_conversion
बहुत ही प्रसिद्ध है और हर साल देश विदेशों से हजारों लाखों [inhaling] यात्रीगण प्रवासी [uhh] गण यहाँ पर आते हैं इनको आकर्षित करते हैं और,बहुत ही प्रसिद्ध है और हर साल देश विदेशों से हजारों लाखों [inhaling] यात्रीगण प्रवासी [uhh] गण यहाँ पर आते हैं इनको आकर्षित करते हैं और,12.041,Extempore,5348024557504819_f22_chunk_2_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,बहुत ही प्रसिद्ध है और हर साल देश विदेशों से हजारों लाखों यात्रीगण प्रवासी गण यहाँ पर आते हैं इनको आकर्षित करते हैं और,hi,Sports and Travel,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_4_silence_insertion;QC1_3_sample_rate_reduction;QC1_1_format_conversion
यहाँ के जो पोपूलेशन है मतलब [uhh] स्पेशली ये होटेल [uhh] वाले और ऑटो वाले [inhaling] और,यहाँ के जो पोपूलेशन [Population] है मतलब [uhh] स्पेशली [Specially] यह होटेल [Hotel] [uhh] वाले और ऑटो [Auto] वाले [inhaling] और,6.875,Extempore,5348024557504819_f22_chunk_3_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,यहाँ के जो पोपूलेशन है मतलब स्पेशली यह होटेल वाले और ऑटो वाले और,hi,Sports and Travel,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_3_sample_rate_reduction;QC1_5_upsampling_simulation;QC1_4_silence_insertion;QC1_1_format_conversion
व्यापारी जो यहाँ पे इन जगहों पर ये [uhh] कलाकृतियाँ और कुछ बेचते हैं,व्यापारी जो यहाँ पर इन जगहों पर यह [uhh] कलाकृतियाँ और कुछ बेचते हैं,6.495,Extempore,5348024557504819_f22_chunk_4_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,व्यापारी जो यहाँ पर इन जगहों पर यह कलाकृतियाँ और कुछ बेचते हैं,hi,Sports and Travel,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_5_upsampling_simulation;QC1_4_silence_insertion;QC1_3_sample_rate_reduction;QC1_1_format_conversion
तो ये लोग [uhh] ये टूरिज़्म पर ही प्रवास उद्यम पर ही [uhh] अवलंबित डिपेन्डेंट हैं तो,तो यह लोग [uhh] यह टूरिज़्म [Tourism] पर ही प्रवास उद्यम पर ही [uhh] अवलंबित डिपेन्डेंट [Dependent] हैं तो,8.607,Extempore,5348024557504819_f22_chunk_5_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,तो यह लोग यह टूरिज़्म पर ही प्रवास उद्यम पर ही अवलंबित डिपेन्डेंट हैं तो,hi,Sports and Travel,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_5_upsampling_simulation;QC1_3_sample_rate_reduction;QC1_4_silence_insertion
इसके लिए [uhh] महामारी के टाइम पे तो ये बहुत ही ज़्यादा अफ़ेक्ट हुए थे क्योंकि लॉकडाउन था कोई भी कहीं भी नहीं आ रहा था कुछ भी नहीं चल रहा था तो,इसके लिए [uhh] महामारी के टाइम [Time] पर तो यह बहुत ही ज़्यादा अफ़ेक्ट [Affect] हुए थे क्योंकि लॉकडाउन [Lockdown] था कोई भी कहीं भी नहीं आ रहा था कुछ भी नहीं चल रहा था तो,8.99,Extempore,5348024557504819_f22_chunk_6_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,इसके लिए महामारी के टाइम पर तो यह बहुत ही ज़्यादा अफ़ेक्ट हुए थे क्योंकि लॉकडाउन था कोई भी कहीं भी नहीं आ रहा था कुछ भी नहीं चल रहा था तो,hi,Sports and Travel,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_5_upsampling_simulation;QC1_3_sample_rate_reduction;QC1_1_format_conversion
ज़िंदगी बहुत [uhh] मुश्किल में पड़ गयी थी इन लोगों की [inhaling] लेकिन अभी जब लॉकडाउन उठाया गया और धीरे धीरे लोग वापस घूमने लगे [uhh] आने लगे यहाँ पर,ज़िंदगी बहुत [uhh] मुश्किल में पड़ गयी थी इन लोगों की [inhaling] लेकिन अभी जब लॉकडाउन [Lockdown] उठाया गया और धीरे-धीरे लोग वापस घूमने लगे [uhh] आने लगे यहाँ पर,12.294,Extempore,5348024557504819_f22_chunk_7_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,ज़िंदगी बहुत मुश्किल में पड़ गयी थी इन लोगों की लेकिन अभी जब लॉकडाउन उठाया गया और धीरे धीरे लोग वापस घूमने लगे आने लगे यहाँ पर,hi,Sports and Travel,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_4_silence_insertion;QC1_5_upsampling_simulation;QC1_3_sample_rate_reduction;QC1_1_format_conversion
तो अभी सुधार आया है परिस्थिति में और [uhh] ये लोग भी [uhh] रिकवर कर रहे हैं मतलब वो जो नष्ट हुआ था दो तीन साल अभी धीरे धीरे वो सब [uhh] ठीक हो रहा है और मुश्किल कम हो रही है,तो अभी सुधार आया है परिस्थिति में और [uhh] यह लोग भी [uhh] रिकवर [Recover] कर रहे हैं मतलब वह जो नष्ट हुआ था दो तीन साल अभी धीरे-धीरे वह सब [uhh] ठीक हो रहा है और मुश्किल कम हो रही है,16.959,Extempore,5348024557504819_f22_chunk_8_subchunk_1.wav,Kannada,Female,18-30,Karnataka,Hassan,7688300335301,तो अभी सुधार आया है परिस्थिति में और यह लोग भी रिकवर कर रहे हैं मतलब वह जो नष्ट हुआ था दो तीन साल अभी धीरे धीरे वह सब ठीक हो रहा है और मुश्किल कम हो रही है,hi,Sports and Travel,Full Time,Education and Research,Translation and language services,White Collar,18-30,Post Grad + PhD,QC1_3_sample_rate_reduction;QC1_5_upsampling_simulation;QC1_4_silence_insertion
चेरंग और तंगचेनमु गाँव थेम्बांग के गीला कबीले के हैं,चेरंग और तंगचेनमु गाँव थेम्बांग के गीला कबीले के हैं,5.297,Read,5348024557504827_f1904_chunk_0_subchunk_1.wav,Bodo,Female,45-60,Assam,Chirang,9600700363548,चेरंग और तंगचेनमु गाँव थेम्बांग के गीला कबीले के हैं,hi,Wikipedia Sentences,Full Time,Education and Research,Teacher,White Collar,45-60,Post Grad + PhD,QC1_3_sample_rate_reduction;QC1_5_upsampling_simulation;QC1_4_silence_insertion;QC1_1_format_conversion
उन्होंने हाल ही में कलिंग इंस्टीट्यूट ऑफ़ इंडस्ट्रियल टेक्नोलॉजी के आईआईटी विश्वविद्यालय भुवनेश्वर ओड़िसा भारत से मानद उपाधि प्राप्त की है,उन्होंने हाल ही में कलिंग इंस्टीट्यूट [Institute] ऑफ़ [Of] इंडस्ट्रियल [Industrial] टेक्नोलॉजी [Technology] के आई [I] आई [I] टी [T] विश्वविद्यालय भुवनेश्वर ओड़िसा भारत से मानद उपाधि प्राप्त की है,14.32,Read,5348024557504829_f2209_chunk_0_subchunk_1.wav,Bodo,Female,45-60,Assam,Chirang,9600700363548,उन्होंने हाल ही में कलिंग इंस्टीट्यूट ऑफ़ इंडस्ट्रियल टेक्नोलॉजी के आई आई टी विश्वविद्यालय भुवनेश्वर ओड़िसा भारत से मानद उपाधि प्राप्त की है,hi,Wikipedia Sentences,Full Time,Education and Research,Teacher,White Collar,45-60,Post Grad + PhD,QC1_3_sample_rate_reduction;QC1_5_upsampling_simulation;QC1_4_silence_insertion
आप क्या करते हो,आप क्या करते हो,1.802,Read,5348024557504831_f923_chunk_0_subchunk_1.wav,Bodo,Female,45-60,Assam,Chirang,9600700363548,आप क्या करते हो,hi,Everyday tasks,Full Time,Education and Research,Teacher,White Collar,45-60,Post Grad + PhD,QC1_5_upsampling_simulation;QC1_3_sample_rate_reduction;QC1_4_silence_insertion;QC1_1_format_conversion
मुझे ट्विटर पर एक स्टेटस पोस्ट करना है,मुझे ट्विटर [Twitter] पर एक स्टेटस [Status] पोस्ट [Post] करना है,3.444,Read,5348024557504833_f1908_chunk_0_subchunk_1.wav,Bodo,Female,45-60,Assam,Chirang,9600700363548,मुझे ट्विटर पर एक स्टेटस पोस्ट करना है,hi,Everyday tasks,Full Time,Education and Research,Teacher,White Collar,45-60,Post Grad + PhD,QC1_3_sample_rate_reduction;QC1_5_upsampling_simulation;QC1_4_silence_insertion;QC1_1_format_conversion
क्या मुझे तुरंत हीटा फार्म्स ऑर्गेनिक गाय का घी मिल सकता है,क्या मुझे तुरंत हीटा फार्म्स [Farms] ऑर्गेनिक [Organic] गाय का घी मिल सकता है,5.361,Read,5348024557504836_f1611_chunk_0_subchunk_1.wav,Bodo,Female,45-60,Assam,Chirang,9600700363548,क्या मुझे तुरंत हीटा फार्म्स ऑर्गेनिक गाय का घी मिल सकता है,hi,Online grocery shopping,Full Time,Education and Research,Teacher,White Collar,45-60,Post Grad + PhD,QC1_5_upsampling_simulation;QC1_3_sample_rate_reduction;QC1_1_format_conversion
मैं चार एनर्जाइज़र एल्कलाइन बैटरीज़ ऑर्डर करना चाहता हूँ क्या आप इसे खरीदारी सूची में जोड़ सकते हैं,मैं चार एनर्जाइज़र [Energizer] एल्कलाइन [Alkaline] बैटरीज़ [Batteries] ऑर्डर [Order] करना चाहता हूँ क्या आप इसे ख़रीददारी सूची में जोड़ सकते हैं,7.806,Read,5348024557504837_f2210_chunk_0_subchunk_1.wav,Bodo,Female,45-60,Assam,Chirang,9600700363548,मैं चार एनर्जाइज़र एल्कलाइन बैटरीज़ ऑर्डर करना चाहता हूँ क्या आप इसे ख़रीददारी सूची में जोड़ सकते हैं,hi,Online grocery shopping,Full Time,Education and Research,Teacher,White Collar,45-60,Post Grad + PhD,QC1_5_upsampling_simulation;QC1_4_silence_insertion;QC1_1_format_conversion
कृपया तीस हज़ार रुपये का भुगतान मेरे सप्तगिरी ग्रामीण बैंक खाते सात दो चार छे सात छे आठ नौ तीन छे पाँच नौ पाँच नौ पाँच सात से मुरली जसावत को करें,कृपया तीस हज़ार रुपये का भुगतान मेरे सप्तगिरी ग्रामीण बैंक [Bank] खाते सात दो चार छः सात छह आठ नौ तीन छः पाँच नौ पाँच नौ पाँच सात से मुरली जसावत को करें,18.207,Read,5348024557504840_f1906_chunk_0_subchunk_1.wav,Bodo,Female,45-60,Assam,Chirang,9600700363548,कृपया तीस हज़ार रुपये का भुगतान मेरे सप्तगिरी ग्रामीण बैंक खाते सात दो चार छः सात छह आठ नौ तीन छः पाँच नौ पाँच नौ पाँच सात से मुरली जसावत को करें,hi,Digital payment services,Full Time,Education and Research,Teacher,White Collar,45-60,Post Grad + PhD,QC1_3_sample_rate_reduction;QC1_5_upsampling_simulation;QC1_1_format_conversion
जून और सितम्बर के मेरे लैंडलाइन बिल के लिए स्वतं भुगतान अक्षम करें,जून [June] और सितम्बर [September] के मेरे लैंडलाइन [Landline] बिल [Bill] के लिए स्वतः भुगतान अक्षम करें,7.485,Read,5348024557504841_f1682_chunk_0_subchunk_1.wav,Bodo,Female,45-60,Assam,Chirang,9600700363548,जून और सितम्बर के मेरे लैंडलाइन बिल के लिए स्वतः भुगतान अक्षम करें,hi,Digital payment services,Full Time,Education and Research,Teacher,White Collar,45-60,Post Grad + PhD,QC1_4_silence_insertion;QC1_5_upsampling_simulation;QC1_3_sample_rate_reduction;QC1_1_format_conversion
मुझे पिन कोड दो दो सात दो छे तीन में अपने मौजूदा स्थान से नज़दीकी ईएसआईसी केंद्र दिखाएँ,मुझे पिन [PIN] कोड [Code] दो दो सात दो छः तीन में अपने मौजूदा स्थान से नज़दीकी ई [E] एस [S] आई [I] सी [C] केंद्र दिखाएँ,10.515,Read,5348024557504844_f1907_chunk_0_subchunk_1.wav,Bodo,Female,45-60,Assam,Chirang,9600700363548,मुझे पिन कोड दो दो सात दो छः तीन में अपने मौजूदा स्थान से नज़दीकी ई एस आई सी केंद्र दिखाएँ,hi,Online government services,Full Time,Education and Research,Teacher,White Collar,45-60,Post Grad + PhD,QC1_5_upsampling_simulation;QC1_3_sample_rate_reduction;QC1_4_silence_insertion;QC1_1_format_conversion
