Reference,Hypothesis,WER
इसके अलावा अलावा मैंने अपने आप को डेलि  अपने आप को इम्प्रुव  किया कुछ न कुछ करता गया छोटे-छोटे स्टैप  लेता गया और अब जो यह नर्वसनैस  है इसको मैं ख़त्म कर रहा हूँ होली होली,इसके अलावा अलावा मैंने अपने आप को डेलि [Daily] अपने आप को इम्प्रुव [Improve] किया कुछ न कुछ करता गया छोटे-छोटे स्टैप [Step] लेता गया और अब जो यह नर्वसनैस [Nervousness] है इसको मैं ख़त्म कर रहा हूँ होली होली,0.1111
तो खत्म करने के लिए मैंने कुछ स्टेप्स लिए वह क्या था कि कॉलेज में jaise छोटे छोटे brthdej़ के इवेंट्स होते थे main मैंने उसमें गाना गाना शुरू कर दिया,तो खत्म करने के लिए मैंने कुछ स्टेप्स लिए वह क्या था कि कॉलेज में jaise छोटे छोटे brthdej़ के इवेंट्स होते थे main मैंने उसमें गाना गाना शुरू कर दिया,0.0
तो जैसे-जैसे मैंने पचास साठ इवेंट  किए,तो जैसे-जैसे मैंने पचास साठ इवेंट [Event] किए,0.1429
अगर मुझे कोई ऐसा टॉपिक  लिखना होगा तो मैं फाइनेंसेस  पर लिखूंगा क्योंकी  हमारे भारत क्षेत्र में आज भी लोग  बचत,अगर मुझे कोई ऐसा टॉपिक [Topic] लिखना होगा तो मैं फाइनेंसेस [Finances] पर लिखूंगा क्योंकी [inhaling] हमारे भारत क्षेत्र में आज भी लोग [uhh] बचत,0.1905
सके जा किया प्रचलित इसको में भर दुनिया पूरी ताकि हूँ देता लिख में ब्लॉग्स कभी हूँ देता लिख में डायरी जैसे हूँ करता पसंद लिखना में में for example माध्यम अलग अलग किसी न किसी हूँ देता लिख मैं उसको है होता किया कुछ भी जो मैंने में दिनचर्या दिन लिए के करने मैनज इसको हूँ करता पसंद ऐक्चवली लिखना please note साथ साथ के for example ऑफ़िस अपने मैं।यह बिल्कुल गलत है।,सके जा किया प्रचलित इसको में भर दुनिया पूरी ताकि हूँ देता लिख में ब्लॉग्स कभी हूँ देता लिख में डायरी जैसे हूँ करता पसंद लिखना में में for example माध्यम अलग अलग किसी न किसी हूँ देता लिख मैं उसको है होता किया कुछ भी जो मैंने में दिनचर्या दिन लिए के करने मैनज इसको हूँ करता पसंद ऐक्चवली लिखना please note साथ साथ के for example ऑफ़िस अपने मैं।यह बिल्कुल गलत है।,0.0
हमारे डीस्ट्रिक्ट  में बहुत सारे जो समस्याएँ हैं वह जो ग्रौथ  के लिए आती हैं जैसे कि पहली समस्या जो मुझे लगती है कि  during नॉलैज ,हमारे डीस्ट्रिक्ट [District] में बहुत सारे जो समस्याएँ हैं वह जो ग्रौथ [Growth] के लिए आती हैं जैसे कि पहली समस्या जो मुझे लगती है कि [uhh] during नॉलैज [Knowledge],0.1538
सारे लोगो को यह नोलेज  ही नहीं है,सारे लोगो को यह नोलेज [Knowledge] ही नहीं है,0.125
अब सवाल यह पैदा होता है की यह इन्वेस्टमेंट जो during है इन्फ्रास्ट्रक्चर में कैसे इफ़ेक्ट करता है एकदम सही बात है,अब सवाल यह पैदा होता है की यह इन्वेस्टमेंट जो during है इन्फ्रास्ट्रक्चर में कैसे इफ़ेक्ट करता है एकदम सही बात है,0.0
यह सारा का सारा जो प्रोसेस है वह please note इन्वेस्टमेंट का ही है अगर हमारी जो नई जनरेशन है वह इन्वेस्टमेंट को सही तरीके से कर सकती है तो उसे जो रिटर्न है वह अच्छा बनेगा,यह सारा का सारा जो प्रोस#$%ेस है वह please note इन्वेस्टमेंट का ही है अगर हमार[START]ी ज</b>ो नई जनरेशन है वह इन्वेस्टमेंट <b>को सही तरीके से कर सकती है तो उसे जो रिटर्न है वह अच्छा बनेगा,0.1081
जो पहले सबसे हमें तो हैं सकते सकते lga पर उस है  डैवलपमेंट  इन्फ्रास्ट्रक्चर के  एरिया,जो पहले सबसे हमें तो हैं सकते सकते lga पर उस है [Development] डैवलपमेंट [Infrastr<b>ucture] इन्फ्रास्ट्रक्चर के [Area] एरिया,0.1875
 होनी चाहिए वह हमें इकोनॉमि  की होनी चाहिए इकोनॉमि  hmare देश की chltee कैसे है क्या चल रहा है कैसे स्टॉक ,[Knowledge] होनी चाहिए वह हमें इकोनॉमि [Economy] की होनी चाहिए इकोनॉमि [Economy] hmare देश की chltee कैसे है क्या चल रहा है कैसे स्टॉक [Stock],0.1905
हम आम लोगों को भी इन चीज़ों के बारे में जागरूक होना पड़ेगा तभी हम एक अच्छी इन्वैस्टमैंट  कर सकते हैं,हम आम लोगों को भी इन चीज़ों के बारे में जागरूक होना पड़ेगा तभी हम एक अच्छी इन्वैस्टमैंट [Investment] कर सकते हैं,0.0476
और जब हम एक अच्छी इन्वैस्टमेंट  कर पाएंगे हम एक अच्छा रीटर्न  ऑन  केपिटल  बना सकते हैं,और जब हम एक अच्छी इन्वैस्टमेंट [Investment] कर पाएंगे हम एक अच्छा रीटर्न [Return] ऑन [On] केपिटल [Capital] बना सकते हैं,0.2353
जब एक आर  ओ  ई  अच्छा होगा तो हम उस पैसे को ऑटौमेटीकली  एक अच्छा इन्फ्रास्ट्रक्चर  डेवलप  करने के लिए लगा सकते हैं जिसके कारण जो हमारा जो इकोनॉमिकल  है सीचुएशन  सोशल  इन्वायरमेंटल  और पॉलिटिकल जो सीचुएशन  है  वह ग्रोथ  की जो दिशा में आगे जा सकती है,जब एक आर [R] ओ [O] ई [E] अच्छा होगा तो हम उस पैसे को ऑटौमेटीकली [Automatically] एक अच्छा इन्फ्रास्ट्रक्चर [Infrastructure] डेवलप [Develop] करने के लिए लगा सकते हैं जिसके कारण जो हमारा जो इकोनॉमिकल [Economical] है सीचुएशन [Situation] सोशल [Social] इन्वायरमेंटल [Environmental] और पॉलिटिकल जो सीचुएशन [Situation] है [inhaling] वह ग्रोथ [Growth] की जो दिशा में आगे जा सकती है,0.2708
हमारे डिस्ट्रिक्ट में वैसे तो बहुत sare मौसम पाए जाते हैं जैसे kee एक बरसात ऋतु है जहाँ पर बहुत सारी बारिश होती है एक गर्मी ऋतु है यहाँ पर बहुत ही ज़्यादा ज़्यादा गर्मी,हमारे डिस्ट्रिक्ट में वैसे तो बहुत sare मौसम पाए जाते हैं ज#$%ैसे kee एक बरसात ऋतु है जहाँ प<b>र बहुत सारी बारिश होती ह</b>ै एक गर्मी ऋतु है यहाँ पर बहुत ही ज़्यादा ज़्यादा गर्मी,0.0857
यह बिल्कुल गलत है।।है बात सही एकदम है होती महसूस example for कम गर्मी note please हमें है जो कारण उसके और हैं होते हल्के हैं होते लाइट कि जो हैं डालते कपड़े के सूती है जो जो हम में ऋतुओं की गर्मी जैसे है रहता बदलता वह है पहनावा जो हमारा है पान खान जो हमारा कारण के ऋतुओं इस अब तो,यह बिल्कुल गलत है।।है बात सही एकदम </b>है होती महसूस example for कम गर्मी#$% note please हमें है जो कारण उसके और हैं होते हल्के हैं होत[START]े लाइट कि जो हैं डालते कपड़े के सूती है जो जो हम में ऋतुओं की गर्मी जैसे है रहता बदलता वह<b> है पहनावा जो हमारा है पान खान जो हमारा कारण के ऋतुओं इस अब तो,0.0635
यह बिल्कुल गलत है।।है बात सही एकदम हैं खाते चीज़ें ठंडी  मौस्टलि हम तो है करता नहीं भी मन का खाने बार बहुत हमें हमें में ऋतु की गर्मी और है होता during  लाइट भी वह हैं खाते खाना हम जो पर  टाइम उस और,यह बिल्कुल गलत है।।है बात सही एकदम हैं खाते चीज़ें ठंडी [Mostly] मौस्टलि हम तो है करता नहीं भी मन का खाने बार बहुत हमें हमें में ऋतु की गर्मी और है होता during [Light] लाइट भी वह हैं खाते खाना हम जो पर [Time] टाइम उस और,0.0667
ऊष्ण होती हैं और तापमान चालीस डिग्री सेल्सियस तक तक system bdh़ जाता,ऊष्ण होती हैं और तापमान चालीस डि[START]ग्री स<b>ेल्सियस</b> तक#$% तक system bdh़ जाता,0.2308
note पश्चिम बंगाल की दो सबसे ऊँची चोटियाँ संदकफू और फालूट,note प<b>श्चिम बंगाल की दो[START] सबसे ऊँची चोटियाँ संदकफू और फालूट,0.1818
कृपया मेरी सूची,कृपया मेरी सूची,0.0
कृपया मुझे वज़ीर का तेरे बिन सुनाओ,कृपय#$%ा मुझे वज़[START]ीर का त<b>ेरे बिन</b> सुनाओ,0.5714
क्या नब्बे नब्बे प्रतिशत छूट सभी डिटर्जेंट,क्या न#$%ब्बे न#$%ब्बे प्रतिशत<b> छूट सभी डिटर्जेंट,0.4286
नरिश  ऑर्गेनीक्स   during हनि  रौस्टेड   को पाँच botl मौजौको  कौकोनट  panee टेट्रा  पैक  से बदलना चाहता,नरिश [Nourish] ऑर्गेनीक्स [Organics] [Organics] during हनि [Honey] रौस्टेड [Roasted] [Cashews] को पाँच botl मौजौको [Mojoco] कौकोनट [Coconut] panee टेट्रा [Tetra] पैक [pack] से बदलना चाहता,0.625
क्या मैं अपने गोल्ड  लोन  को डी  सि  बि  बैंक  पर अमैजौन  पै  के माध्यम से वापस भुगतान कर सकता हूँ,क्या मैं अपने गोल्ड [Gold] लोन [Loan] को डी [D] सि [C] बि [B] बैंक [Bank] पर अमैजौन [Amazon] पै [Pay] के माध्यम से वापस भुगतान कर सकता हूँ,0.381
क्या आप इस क्यू  आर  कोड  को स्केन  कर सकते हैं और मेरे यस  बैंक  खाते को प्रमाणित कर सकते हैं एकदम सही बात है,क्या आप इस क्यू [Q] आर [R] कोड [Code] को स्केन [Scan] कर सकते हैं और मेरे यस [Yes] बैंक [Bank] खाते को प्रमाणित कर सकते हैं एकदम सही बात है,0.24
हरियाणा में दूसरी डौज़ ,हरियाणा में दू<b>सरी डौज़ [Dose],0.5
असहमत,असहमत,0.0
nan,nan,0.0
का upyog मेरे लिए for example एक सकारात्मक अनुभव रहा है यह मुझे अवसर प्रदान करता है ki मैं अपने विचारों को शब्दों में रूपांतरित कर सकूँ और विभिन्न क्षेत्रों में अपनी कला शिक्षा और कार्य ढंग prdrshit कर,का upyog मेरे लिए for example एक सकारात्मक अनुभव रहा है यह मुझे अवसर प्रदान करता है ki मैं अपने विचारों को शब्दों में रूपांतरित कर सकूँ और विभिन्न क्षेत्रों में अपनी कला शिक्षा और कार्य ढंग prdrshit कर,0.0
इसका उपयोग मुझे आवश्यक संसाधनों तक आसानी आसानी से,इसका उपयोग #$%मुझे आव<b>श्यक संसाधनों तक आसानी</b> आसानी</b> से,0.4444
इसके अलावा लेपटॉप  के इंटरनैट  कनैक्शन  के द्वारा जानकारी की खोज करने,इसके अलावा लेपटॉप [Laptop] के इंटरनैट [Internet] कनैक्शन [Connection] के द्वारा जानकारी की खोज करने,0.25
समय के साथ साथ यह मेरे लिए samanyth आवश्यकता,समय के साथ साथ यह मेरे लिए samanyth आवश्यकता,0.0
मैं इसका भरपूर आनंद लेता हूँ और यह मुझे नए अवसर प्रदान करता है,मैं इसका भरपूर आनंद लेता हूँ और यह मुझे नए अवसर प्रदान करता है,0.0
महाराष्ट्र,महाराष्</b>ट[STA<b>#$%RT]्र,1.0
तमिलनाडु एकदम सही बात,तमिलनाडु एकदम सही बात,0.0
nan,nan,0.0
प्रदेश एकदम सही,प्रदेश एकदम सही</b>,0.3333
उत्तराखंड एकदम,<b>उत्तराख[START]</b>ं#$%ड एकदम,0.5
सींगापूर  एकदम,सींगाप</b>ूर [Sin#$%gapore] ए<b>कदम,1.5
यह yh बिल्कुल गलत है।।यॉर्क न्यू,यह yh बिल्कुल गलत है।।य#$%</b><b>ॉर[START]्क न्यू,0.1667
दूबई Dubai],दूबई [[STA#$%RT]<b></b>Dubai],0.5
 टौक्यो।यह बिल्कुल गलत,[Tokyo] टौक्यो।यह बिल्कुल #$%गलत,0.6667
कैनबेरा  for example,कैनबेरा [Canberra] for example,0.3333
है पड़ता करना सामना का चुनौतियों कई की,है पड़ता कर</b>ना सामना का चुनौतियों कई की,0.125
पहली चुनौती शब्दावली,पहली चुनौती शब्दावली,0.0
क्योंकि हिंदी में विशेष शब्दावली शब्दावली होती है जिस का अंग्रेजी भाषा में system सीधा अनुवाद करना मुश्किल होता है एकदम सही बात है,क<b>्य[START]ोंकि हिंद</b>ी में विशेष शब्दावली शब्दावली होती है जिस का अंग्रेजी भाषा में system सीधा अनुवाद करना म#$%ुश्किल होता है एकदम सही बात है,0.125
चुनौती वाक्य संरचना संरचना की है हिंदी में वाक्य का तंत्र अलग होता,चुनौती वाक्य संरचना संरचना की है हिंद#$%ी में वाक्य का तंत्र अलग होता,0.0769
तीसरी चुनौती वाक्य की संगठन की है क्योंकि हिंदी में वाक्यों का क्रमबद्ध,तीसरी चुनौती वाक्य की संगठन की है क्#$%योंकि हिंदी म[START]ें वाक्यों का क्रमबद्ध,0.1538
इन चुनौतियों चुनौतियों के बावजूद नवीनतम तकनीकों for example और teknoljee के माध्यम से हिंदी भाषा को समर्थन मिल सकता hai लेकिन अभी भी विकास की ज़रूरत है,इन चुनौतियों चुनौतियों के बाव<b>जूद नवीनतम तकनीकों for exampl#$%e और[START] teknoljee के माध्यम स</b>े हिंदी भाषा को समर्थन मिल सकता hai लेकिन अभी भी विकास की ज़रूरत है,0.1429
हिंदी bhasha सभी पहलुओं को समावेश किया जा सके aur इसे और भी भी अधिक please note प्रभावी बनाया जा,हिंदी #$%bhasha सभी पहलुओ<b>ं को समावेश किया जा सके aur इस</b>े और भी भी अधिक please note प्रभावी बनाया ज[START]ा,0.2
mere जीवन का please note सबसे बड़ा तकनीकी बदलाव संचार के क्षेत्र क्षेत्र में आया है,mere जीवन का please note सबसे बड़ा तकनीकी बदलाव संचार के क्षेत्र क्षेत्र में आया है,0.0
हैं सकते कर उपयोग का वोट्सएप आज थे पड़ते भेजने टेलीग्राम और चिट्ठी हमें पहले system आया में प्रचलन फ़ोन मोबाइल फिर थे करते बातें से फ़ोन लैंडलाइन हम में दशक के नब्बे सौ उन्नीस।यह बिल्कुल गलत है। एकदम सही बात है,हैं सकते कर उपयोग का वोट्सएप आज थे पड़ते भेजने टेलीग्राम और चिट्ठी हमें पहले system [START]आया में#$% प्रचलन फ़ोन मोबाइल फिर थे करते बातें से फ़ोन लैंडलाइन हम में दशक के <b>नब्बे सौ उन</b>्नीस।यह बिल्कुल गलत है। एकदम सही बात है,0.0952
मौबाइल  फ़ौन  के आगमन से हमारे कार्य क्षेत्र में बहुत गति आई आई है आज हम मौबाइल  के बिना काम नहीं कर सकते,मौबाइल [Mobile] फ़ौन [Phone] के आगमन से हमारे कार्य क्षेत्र में बहुत गति आई आई है आज हम मौबाइल [Mobile] के बिना काम नहीं कर सकते,0.1304
हैं सकते कर भी ईमेल और हैं सकते भेज वॉट्सऐप हैं सकते कर कॉल्स हैं सकते भेज भेज एस एम एस हम से उपयोग के मोबाइल।यह बिल्कुल गलत है।,हैं सकते कर भी <b>ईमेल और हैं सकते भेज वॉट्सऐप हैं सकते कर कॉल्स है[STA</b>RT]ं सकते भेज भेज एस एम एस हम से उपयो#$%ग के मोबाइल।यह बिल्कुल गलत है।,0.1034
मैं कोई sngeet समारोह में अब तक तक गया नहीं हूँ,मैं कोई sngeet समारोह में अब तक तक गया नहीं हूँ,0.0
