filename,ground_truth,normalized_transcripts,english_word_count
5348024557507422_f572_chunk_0_subchunk_1.wav,मैं उन्हें यह बताते हुए शुरुआत करूंगी कि यह मेरी पसंदीदा डिश [Dish] में से एक है और यही कारण है कि मैंने इसे बनाया था,मैं उन्हें यह बताते हुए शुरुआत करूंगी कि यह मेरी पसंदीदा डिश  में से एक है और यही कारण है कि मैंने इसे बनाया था,-1
5348024557507422_f572_chunk_1_subchunk_1.wav,और इस डीश [Dish] के क्या-क्या फ़ायदे हैं यह भी बता सकते हैं कि इस डीश [Dish] को बनाने में ज़्यादा समय भी नहीं लगता है और इस डीश [Dis[START]h] में किन-किन सामग्री का उ<b>पयोग होत</b>ा है और किन मात्रा में होता ह#$%ै,और इस डीश  के क्या-क्या फ़ायदे हैं यह भी बता सकते हैं कि इस डीश  को बनाने में ज़्यादा समय भी नहीं लगता है और इस डीश h] में किन-किन सामग्री का उपयोग होता है और किन मात्रा में होता है,12
5348024557507422_f572_chunk_2_subchunk_1.wav,इस डिश को बनाने की प्रक्रिया को समझाना बहुत ज़रूरी है तभी दूसरा,इस डिश को बनाने की प्रक्रिया को समझाना बहुत ज़रूरी है तभी दूसरा,-1
5348024557507424_f573_chunk_0_subchunk_1.wav,है पसंद गाना गाने मेलेडी हिंदी ज़्यादातर मुझे और हूँ करती प्रयास का लेने भाग में कार्यक्रम,है पसंद गाना गाने मेलेडी हिंदी ज़्यादातर मुझे और हूँ करती प्रयास का लेने भाग में कार्यक्रम,-1
5348024557507424_f573_chunk_1_subchunk_1.wav,हैं आते पसंद सबको भजन मेरे और हूँ गाती भजन भी में कीर्तन के आदि के जी कृष्ण में जन्माष्टमी और के जी गणेश में चतुर्थी गणेश के रानी माता में नवरात्रि कि जैसे त्योहार एक हर मैं।यह बिल्कुल गलत है। एकदम सही बात है,हैं आते पसंद सबको भजन मेरे और हूँ गाती भजन भी में कीर्तन के आदि के जी कृष्ण में जन्माष्टमी और के जी गणेश में चतुर्थी गणेश के रानी माता में नवरात्रि कि जैसे त्योहार एक हर मैं।यह बिल्कुल गलत है। एकदम सही बात है,-1
5348024557507424_f573_chunk_2_subchunk_1.wav,मुझे अपने पिछले कार्यालय में एक मिलन समारोह में एक बार पुरस्कार भी दिया गया था और मुझे इस बार बहुत आनंद आता है एकदम सही बात for example है,मुझे अपने पिछले कार्यालय में एक मिलन समारोह में एक बार पुरस्कार भी दिया गया था और मुझे इस बार बहुत आनंद आता है एकदम सही बात for example है,9
5348024557507425_f329_chunk_0_subchunk_1.wav,प्रदर्शन के lie एक gana चुनना कठिन for example है लेकिन कभी कभी chunauteepoorn kam भी हो सकता है मुख्य रूप से जो please note चीज़ें मुझे ऐसा गाना चुनने men मदद करती है जो मेरी प्रतिभा को प्रदर्शित करती है वह है मेरे प्रदर्शन का उद्देश्य जो अवसर पर आधारित है,प्रदर्शन के lie एक gana चुनना कठिन for example है लेकिन कभी कभी chunauteepoorn kam भी हो सकता है मुख्य रूप से जो please note चीज़ें मुझे ऐसा गाना चुनने men मदद करती है जो मेरी प्रतिभा को प्रदर्शित करती है वह है मेरे प्रदर्शन का उद्देश्य जो अवसर पर आधारित है,-1
5348024557507425_f329_chunk_1_subchunk_1.wav,prdrshn की लम्बाई ताकि दिए गए समय में हो सके और अन्य प्रकार के उपस्थित दर्शक जिनकी उपेक्षा पूरी करनी है अंत men ऐसा गीत चुनना महत्त्वपूर्ण है जिसे प्रस्तुत करने में में हमें aannd आता है,prdrshn की लम्बाई ताकि दिए गए समय में हो सके और अन्य प्रकार के उपस्थित दर्शक जिनकी उपेक्षा पूरी करनी है अंत men ऐसा गीत चुनना महत्त्वपूर्ण है जिसे प्रस्तुत करने में में हमें aannd आता है,-1
5348024557507426_f575_chunk_0_subchunk_1.wav,तमिलनाडु दक्षिण भारत का एक ऐसा राज्य है जो अपनी समृद्ध संस्कृति विरासत और संगीत प्रेम के लिए जाना जाता है हालांकि कारोकी बार दुनिया के कुछ अन्य हिस्सों की तरह तरह प्रचलित नहीं है फिर भी तमिलनाडु में कई स्थान हैं जहाँ टूरिस्ट आनंद ले सकते हैं,तमिलनाडु दक्षिण भारत का एक ऐसा राज्य है जो अपनी समृद्ध संस्कृति विरासत और संगीत प्रेम के लिए जाना जाता है हालांकि कारोकी बार दुनिया के कुछ अन्य हिस्सों की तरह तरह प्रचलित नहीं है फिर भी तमिलनाडु में कई स्थान हैं जहाँ टूरिस्ट आनंद ले सकते हैं,-1
5348024557507426_f575_chunk_1_subchunk_1.wav,कि टेन डाउनिंग रोड चेन्नई टी नगर चेन्नई में स्थित यह एक लोकप्रिय पब और रेस्टोरेंट है जो अपने ऊर्जा व माहौल और कभी कभी कारोकी रातों के लिए जाना,कि टेन डाउनिंग रोड चेन्नई टी नगर चेन्नई में स्थित यह एक लोकप्रिय पब और रेस्टोरेंट है जो अपने ऊर्जा व माहौल और कभी कभी कारोकी रातों के लिए जाना,-1
5348024557507426_f575_chunk_2_subchunk_1.wav,बी [B] वन [One] फोर्टि [Forty] सीक्स [Six] चेन्नई जो की एक पब [Pub] और लोंज [Lounge] है जिसका अलग ही एक स्टाइलिश [Stylish] सेटिंग [Setting] है,बी  वन  फोर्टि  सीक्स  चेन्नई जो की एक पब  और लोंज  है जिसका अलग ही एक स्टाइलिश  सेटिंग  है,-1
5348024557507426_f575_chunk_3_subchunk_1.wav,गेट सभी द</b>ो हज़ार चेन#$%्नई पे नबे चेन्नई में यह एक रेस्ट<b>रों [Restro] थीम [Theme] वाला ल[START]ोंज [Lounge] है,गेट सभी दो हज़ार चेन्नई पे नबे चेन्नई में यह एक रेस्टरों  थीम  वाला लोंज  है,-1
5348024557507426_f575_chunk_4_subchunk_1.wav,कृपया ध्यान दें कि कारोकी रात</b>ों की उपलब्धता अलग अलग हो सकती है और उनके श<b>ेड्यूल की,कृपया ध्यान दें कि कारोकी रातों की उपलब्धता अलग अलग हो सकती है और उनके शेड्यूल की,1
5348024557507426_f575_chunk_5_subchunk_1.wav,हैं सकते ले आनंद टूरिस्ट जिनका है होता प्रदर्शन संगीत और ज्ञान अक्सर उनमें क्योंकि है,हैं सकते ले आनंद टूरिस्ट जिनका है होता प्रदर्शन संगीत और ज्ञान अक्सर उनमें क्योंकि है,-1
5348024557507432_f574_chunk_0_subchunk_1.wav,यह बिल्कुल गलत है।।हैं सकते कर साझा जीत और संघर्ष कहानियाँ अपनी लिए के करने प्रदान समझ और प्रेरणा जुड़ने से दूसरों हम जहाँ अनुभव व्यक्तिगत कि जैसे हैं होती निर्भर पर मूल्यों और अनुभव रुचियों हमारी वे हैं चाहते करना साझा और लिखना हम में बारे के चीज़ों जिन एकदम सही बात है,यह बिल्कुल गलत है।।हैं सकते कर साझा जीत और संघर्ष कहानियाँ अपनी लिए के करने प्रदान समझ और प्रेरणा जुड़ने से दूसरों हम जहाँ अनुभव व्यक्तिगत कि जैसे हैं होती निर्भर पर मूल्यों और अनुभव रुचियों हमारी वे हैं चाहते करना साझा और लिखना हम में बारे के चीज़ों जिन एकदम सही बात है,-1
5348024557507432_f574_chunk_1_subchunk_1.wav,कोई सामाजिक मुद्दे ताकि सकारात्मक बदलाव और सामाजिक न्याय को बढ़ावा देने के लिए असमानता मानवाधिकारी जलवायु परिवर्तन गरीबी और मानसिक स्वास्थ्य जैसे system महत्त्वपूर्ण सामाजिक मुद्दों के बारे में जागरूक कर सकते हैं एकदम सही बात है,कोई सामाजिक मुद्दे ताकि सकारात्मक बदलाव और सामाजिक न्याय को बढ़ावा देने के लिए असमानता मानवाधिकारी जलवायु परिवर्तन गरीबी और मानसिक स्वास्थ्य जैसे system महत्त्वपूर्ण सामाजिक मुद्दों के बारे में जागरूक कर सकते हैं एकदम सही बात है,-1
5348024557507432_f574_chunk_2_subchunk_1.wav,हम doosron को स्वस्थ जीवनशैली बनाए रखने और shareerik या मानसिक svasth चुनौतियों से निपटने के बारे में शिक्षित करने के लिए स्वास्थ्य during फिटनेस और कल्याण के बारे में भी लिख सकते हैं,हम doosron को स्वस्थ जीवनशैली बनाए रखने और shareerik या मानसिक svasth चुनौतियों से निपटने के बारे में शिक्षित करने के लिए स्वास्थ्य during फिटनेस और कल्याण के बारे में भी लिख सकते हैं,1
5348024557507432_f574_chunk_3_subchunk_1.wav,अपने अनुभव को भी साझा krne के लिए यात्रा और संस्कृति के बारे में और दूसरों को प्रेरित करने और उनको उत्थान krne के लिए लिए इंस्पिरेशनल और motiveshnl कंटेंट भी लिख सकते हैं,अपने अनुभव को भी साझा krne के लिए यात्रा और संस्कृति के बारे में और दूसरों को प्रेरित करने और उनको उत्थान krne के लिए लिए इंस्पिरेशनल और motiveshnl कंटेंट भी लिख सकते हैं,-1
5348024557507432_f574_chunk_4_subchunk_1.wav,जानकारी अनुभव और ज्ञान साझा करना दूसरों से जुड़ने शिक्षित करने और समाज की भलाई में योगदान करने का एक प्रभावशाली तरीका हो हो सकता है,जानकारी अनुभव और ज्ञान साझा करना दूसरों से जुड़ने शिक्षित करने और समाज की भलाई में योगदान करने का एक प्रभावशाली तरीका हो हो सकता है,9
5348024557507435_f122_chunk_0_subchunk_1.wav,हाँ मेरे घर में भी तुलसी और अन्य जड़ी बूटी पौधे हैं तुलसी और अन्य जड़ी बूटी जैसे पौधे चेन्नई के घरेलू बगीचों और घरों में आम हैं तुलसी रूप से भारतीय घरों में महत्त्वपूर्ण स्वा सांस्कृतिक और औषधिय महत्त्व रखती,हाँ मेरे घर में भी तुलसी और अन्य जड़ी बूटी पौधे हैं तुलसी और अन्य जड़ी बूटी जैसे पौधे चेन्नई के घरेलू बगीचों और घरों में आम हैं तुलसी रूप से भारतीय घरों में महत्त्वपूर्ण स्वा सांस्कृतिक और औषधिय महत्त्व रखती,-1
5348024557507435_f122_chunk_1_subchunk_1.wav,और अक्सर इसके औषधिय गुण के लिए उगाई जाती है चेन्नई और भारत के अन्य हिस्सों में आमतौर इस्तेमाल की जाने वाली कुछ जड़ी-बूटियों में तुलसी एलौवैरा [Aloevera] हल्दी अदरक और अश्वगंधा शामिल हैं,और अक्सर इसके औषधिय गुण के लिए उगाई जाती है चेन्नई और भारत के अन्य हिस्सों में आमतौर इस्तेमाल की जाने वाली कुछ जड़ी-बूटियों में तुलसी एलौवैरा  हल्दी अदरक और अश्वगंधा शामिल हैं,9
5348024557507435_f122_chunk_2_subchunk_1.wav,तुलसी जैसे हर्बल [Herbal] उपचार के व[START]िभिन्न स्वास्थ्य लाभ हैं और यह शरीर की प्<b>राकृतिक रक्षा का समर्थन करने में मदद करती </b>हैं यानी वे हमारे शरीर में प्राकृतिक#$% एंटीबॉडी [Antibody] को मजबूत करने और संपूर्ण कल्याण को बढ़ावा देने में मदद करती है,तुलसी जैसे हर्बल  उपचार के विभिन्न स्वास्थ्य लाभ हैं और यह शरीर की प्राकृतिक रक्षा का समर्थन करने में मदद करती हैं यानी वे हमारे शरीर में प्राकृतिक एंटीबॉडी  को मजबूत करने और संपूर्ण कल्याण को बढ़ावा देने में मदद करती है,-1
5348024557507435_f122_chunk_3_subchunk_1.wav,जबकि एंटीबायोटिक्स प्रिस्क्र<b>िप्शन दवाई है जिसका #$%उपयोग बैक्टीरियल इ[START]ंफेक्शन के इलाज के,जबकि एंटीबायोटिक्स प्रिस्क्रिप्शन दवाई है जिसका उपयोग बैक्टीरियल इंफेक्शन के इलाज के,-1
5348024557507436_f1610_chunk_0_subchunk_1.wav,थे हुए फटे दरवाजे और थीं हुई,थे हुए फटे दरवाजे और थीं हुई,1
5348024557507438_f2202_chunk_0_subchunk_1.wav,यह बिल्कुल गलत है।।सके रोक से करने ग्राउंड को गेंद में कोर्ट के पक्ष अपने को टीम विरोधी ताकि है करती काम साथ एक टीम प्रत्येक एकदम सही बात है,यह बिल्कुल गलत है।।सके रोक से करने ग्राउंड को गेंद में कोर्ट के पक्ष अपने को टीम विरोधी ताकि है करती काम साथ एक टीम प्रत्येक एकदम सही बात है,-1
5348024557507440_f1080_chunk_0_subchunk_1.wav,आज हुआ क्या था एकदम during सही बात है,आज हुआ क्या था एकदम during सही बात है,5
5348024557507441_f1879_chunk_0_subchunk_1.wav,meree सूचियों की सूची system बनाओ,meree सूचियों की सूची system बनाओ,1
5348024557507445_f1873_chunk_0_subchunk_1.wav,मैं पाँच सौ रुपये का bloo टोकाई कॉफ़ी रोस्टर्स रोस्टर्स ख़रीदना चाहता हूँ,मैं पाँच सौ रुपये का bloo टोकाई कॉफ़ी रोस्टर्स रोस्टर्स ख़रीदना चाहता हूँ,-1
5348024557507447_f911_chunk_0_subchunk_1.wav,कपिवा आँवला जूस के बजाय मुझे स्वस्तिक्स स्वस्तिक्स बादाम ड्रिंक डिलीवर किया गया,कपिवा आँवला जूस के बजाय मुझे स्वस्तिक्स स्वस्तिक्स बादाम ड्रिंक डिलीवर किया गया,-1
5348024557507450_f1572_chunk_0_subchunk_1.wav,सात हज़ार रुपये का भुगतान मेरे पेटीएम पेमेंट्स बैंक खाते वन टू फ़ाइव टू एट टू सिक्स थ्री फ़ाइव सिक्स सिक्स फ़ाइव से सिद्धांत मावी को,सात हज़ार रुपये का भुगतान मेरे पेटीएम पेमेंट्स बैंक खाते वन टू फ़ाइव टू एट टू सिक्स थ्री फ़ाइव सिक्स सिक्स फ़ाइव से सिद्धांत मावी को,-1
5348024557507451_f1874_chunk_0_subchunk_1.wav,सिद्धांत मावी को थर्टी [Thirty] थउजेंड [Thousand] [horn] रुपये की राशि ट्रांसफ़र [Transfer] करें और पूरे साल के लिए हर महीने इसका एक चौथाई हिस्सा स्वतः चुकाएँ,सिद्धांत मावी को थर्टी  थउजेंड   रुपये की राशि ट्रांसफ़र  करें और पूरे साल के लिए हर महीने इसका एक चौथाई हिस्सा स्वतः चुकाएँ,-1
5348024557507452_f1875_chunk_0_subchunk_1.wav,ई [E] पि [P] #$%एफ़ [F] ओ [O] पासबूक [Passbook] </b>स्टैटमेंट [Statement] जैनरेट [Generate] करने के लिए मेरे यु [U] ए [A] एन [N] नम्बर <b>[Number] टू [Two] एट [Eight] नाइन [Nine] नाइन [Nine][START] सेवन [Seven] फाइव [Five] टू [Two] थ्री [Three] फौर [Four] टू [Two] थ्री [Three] वन [One] का उपयोग करें,ई  पि  एफ़  ओ  पासबूक  स्टैटमेंट  जैनरेट  करने के लिए मेरे यु  ए  एन  नम्बर  टू  एट  नाइन  नाइन  सेवन  फाइव  टू  थ्री  फौर  टू  थ्री  वन  का उपयोग करें,-1
5348024557507455_f1876_chunk_0_subchunk_1.wav,फ़ोन नम्बर सेवन थ्री ज़ीरो थ्री वन फ़ाइव फोर नाइन टू फ़ाइव सिक्स और[START],फ़ोन नम्बर सेवन थ्री ज़ीरो थ्री वन फ़ाइव फोर नाइन टू फ़ाइव सिक्स और,-1
5348024557507459_f1878_chunk_0_subchunk_1.wav,यह बिल्कुल,यह बिल्कुल,0
5348024557507460_f1877_chunk_0_subchunk_1.wav,यह बिल्कुल गलत है।।बाएँ एकदम सही बात है,यह बिल्कुल गलत है।।बाएँ एकदम सही बात है,7
5348024557507466_f326_chunk_0_subchunk_1.wav,ई बुक बहुत अच्छा था लेआउट पढ़ने के लिए अच्छा लगता था और फॉन्ट का साइज़ भी पढ़ने के लिए सुलभ था एकदम सही during बात है,ई बुक बहुत अच्छा था लेआउट पढ़ने के लिए अच्छा लगता था और फॉन्ट का साइज़ भी पढ़ने के लिए सुलभ था एकदम सही during बात है,7
5348024557507467_f652_chunk_0_subchunk_1.wav,मैं जो for example ई बुक लिया अमेज़ॉन से उसका कॉपी अच्छा नहीं था,मैं जो for example ई बुक लिया अमेज़ॉन से उसका कॉपी अच्छा नहीं था,-1
5348024557507467_f652_chunk_1_subchunk_1.wav,बहुत करेक्शन्स the उसमें पेज लेआउट भी पढ़ने के के लिए ठीक ठाक नहीं थे,बहुत करेक्शन्स the उसमें पेज लेआउट भी पढ़ने के के लिए ठीक ठाक नहीं थे,7
5348024557507467_f652_chunk_2_subchunk_1.wav,और बहुत बहुत पेजों पेजेस जंबल भी हुए थे,और बहुत बहुत पेजों पेजेस जंबल भी हुए थे,1
5348024557507495_f1035_chunk_0_subchunk_1.wav,दें कि एक बार जब कोई आपके मनी को,दें कि एक बार जब कोई आपके मनी को,1
5348024557507495_f1035_chunk_1_subchunk_1.wav,लेता है तो जारी कर्ता से आपके पैसे वापस मिलने की संभावना,लेता है तो जारी कर्ता से आपके पैसे वापस मिलने की संभावना,1
5348024557507495_f1035_chunk_2_subchunk_1.wav,बहुत कम<b></b> #$%या न [START]के,बहुत कम या न के,1
5348024557507495_f1035_chunk_3_subchunk_1.wav,#$%बराबर,बराबर,0
5348024557507498_f1016_chunk_0_subchunk_1.wav,हैं उपलब्ध अभी सूचियाँ,हैं उपलब्ध अभी सूचियाँ,0
5348024557507500_f1216_chunk_0_subchunk_1.wav,यह बिल्कुल गलत है।।है करना क्या कल मुझे एकदम सही बात है,यह बिल्कुल गलत है।।है करना क्या कल मुझे एकदम सही बात है,-1
5348024557507503_f758_chunk_0_subchunk_1.wav,कल पर for example डिलवरी किए गए ऑर्डर को दोहराएँ लेकिन कोलगेट माउतवॉश के बजाय चार कवच फेस मास्क जोड़े एकदम सही बात है,कल पर for example डिलवरी किए गए ऑर्डर को दोहराएँ लेकिन कोलगेट माउतवॉश के बजाय चार कवच फेस मास्क जोड़े एकदम सही बात है,5
5348024557507504_f1217_chunk_0_subchunk_1.wav,क्या मैं दस पाउच चौबीस मात्रा काबुली चने की em आर पी जान सकता हूँ please note,क्या मैं दस पाउच चौबीस मात्रा काबुली चने की em आर पी जान सकता हूँ please note,9
5348024557507508_f762_chunk_0_subchunk_1.wav,क्या मैं एकम फाउंडेशन को दान कर सकता सकता hooँ,क्या मैं एकम फाउंडेशन को दान कर सकता सकता hooँ,1
5348024557507509_f1214_chunk_0_subchunk_1.wav,रुपया छः हज़ार रुपये का भुगतान मेरे जियो पेमेंट्स बैंक खाते खाते चार पाँच एक आठ एक दो,रुपया छः हज़ार रुपये का भुगतान मेरे जियो पेमेंट्स बैंक खाते खाते चार पाँच एक आठ एक दो,-1
5348024557507509_f1214_chunk_1_subchunk_1.wav,तीन नौ आठ चार सात सात छह से शांतनु,तीन नौ आठ चार सात सात छह से शांतनु,1
5348024557507509_f1214_chunk_2_subchunk_1.wav,को करो,को करो,0
5348024557507510_f1215_chunk_0_subchunk_1.wav,मेरी ए [A] पी [P] वाई [Y] पे#$%ंशन [<b>Pension] राशि दिखाएँ मेरा पी [P] आर [R] ए [A] एन [N] नम्बर [Number] आठ आठ दो तीन</b> सात तीन तीन तीन सात आठ त[START]ीन चार है,मेरी ए  पी  वाई  पेंशन  राशि दिखाएँ मेरा पी  आर  ए  एन  नम्बर  आठ आठ दो तीन सात तीन तीन तीन सात आठ तीन चार है,-1
5348024557507513_f1218_chunk_0_subchunk_1.wav,उन ट</b>ीका#$%करण,उन टीकाकरण,0
5348024557507513_f1218_chunk_1_subchunk_1.wav,यह बिल्कुल गलत,यह बिल्कुल गलत,0
5348024557507513_f1218_chunk_2_subchunk_1.wav,जो।यह बिल्कुल गलत है। एकदम सही बात है,जो।यह बिल्कुल गलत है। एकदम सही बात है,1
5348024557507513_f1218_chunk_3_subchunk_1.wav,चार कुल्क for example है और एकदम सही बात है,चार कुल्क for example है और एकदम सही बात है,1
5348024557507513_f1218_chunk_4_subchunk_1.wav,पुतनिक टीका दे rhe for example हैं,पुतनिक टीका दे rhe for example हैं,5
5348024557507514_f1219_chunk_0_subchunk_1.wav,jao,jao,1
5348024557507519_f1130_chunk_0_subchunk_1.wav,छोड़ो,छोड़ो,0
5348024557507524_f406_chunk_0_subchunk_1.wav,फ्लिपकार्ट एक पंखा खरीद किया पंखा एक यांत्रिक उपकरण,फ्लिपकार्ट एक पंखा खरीद किया पंखा एक यांत्रिक उपकरण,1
5348024557507524_f406_chunk_1_subchunk_1.wav,उस उपकरण हवा मिलने का,उस उपकरण हवा मिलने का,1
5348024557507524_f406_chunk_2_subchunk_1.wav,संचालित करने के लिए उ<b>पयोग होता[</b>START] #$%है,संचालित करने के लिए उपयोग होता है,1
5348024557507524_f406_chunk_3_subchunk_1.wav,[START]व<b>ह#$%ी</b>,वही,0
5348024557507524_f406_chunk_4_subchunk_1.wav,यह बिल्कुल,यह बिल्कुल,0
5348024557507524_f406_chunk_5_subchunk_1.wav,यह बिल्कुल गलत है।।नहीं कोई एकदम सही बात है,यह बिल्कुल गलत है।।नहीं कोई एकदम सही बात है,5
5348024557507529_f408_chunk_0_subchunk_1.wav,during माणिक्यम भानुमति येलमलई अक्षय एकदम सही बात है,during माणिक्यम भानुमति येलमलई अक्षय एकदम सही बात है,1
5348024557507529_f408_chunk_1_subchunk_1.wav,please note प्राची kृshnn,please note प्राची kृshnn,2
5348024557507537_f407_chunk_0_subchunk_1.wav,मुझे एक एक बार kam पर एक गलती किया,मुझे एक एक बार kam पर एक गलती किया,-1
5348024557507537_f407_chunk_1_subchunk_1.wav,उस गलती मैंने मैंने आईडेंटिफाई किया,उस गलती मैंने मैंने आईडेंटिफाई किया,1
5348024557507537_f407_chunk_2_subchunk_1.wav,पहले पहले से के सूचित,पहले पहले से के सूचित,1
5348024557507537_f407_chunk_3_subchunk_1.wav,प्रौफ़ेसर [Professor] उस गलती परिशोधित किया,प्रौफ़ेसर  उस गलती परिशोधित किया,1
5348024557507537_f407_chunk_4_subchunk_1.wav,और म[START]ैं उसके<b></b> बाद गलती #$%न किया,और मैं उसके बाद गलती न किया,1
5348024557507537_f407_chunk_5_subchunk_1.wav,,,1
5348024557507545_f4_chunk_0_subchunk_1.wav,यह बिल्कुल गलत है।।लिए के,यह बिल्कुल गलत है।।लिए के,2
5348024557507545_f4_chunk_1_subchunk_1.wav,है करता मदद।यह बिल्कुल गलत है। एकदम सही बात है,है करता मदद।यह बिल्कुल गलत है। एकदम सही बात है,7
5348024557507545_f4_chunk_2_subchunk_1.wav,वॉट्सऐप धार्मिकता और संस्कृति का फैलाना के लिए एकदम for example सही बात है,वॉट्सऐप धार्मिकता और संस्कृति का फैलाना के लिए एकदम for example सही बात है,-1
5348024557507545_f4_chunk_3_subchunk_1.wav,j़roor आवश्यकता है during,j़roor आवश्यकता है during,2
5348024557507545_f4_chunk_4_subchunk_1.wav,इसीलिए इसीलिए sbhee वैज्ञानिक इनोवेशन्स,इसीलिए इसीलिए sbhee वैज्ञानिक इनोवेशन्स,1
5348024557507545_f4_chunk_5_subchunk_1.wav,मदद करता करता है,मदद करता करता है,0
5348024557507550_f193_chunk_0_subchunk_1.wav,विश्वविद्यालयों,विश्वविद्यालयों,0
5348024557507550_f193_chunk_1_subchunk_1.wav,और कला शालाओं पर,और कला शालाओं पर,0
5348024557507550_f193_chunk_2_subchunk_1.wav,म[START</b>]हि<b>ला #$%योम,महिला योम,1
5348024557507550_f193_chunk_3_subchunk_1.wav,</b>और ग्रामीण,और ग्रामीण,1
5348024557507550_f193_chunk_4_subchunk_1.wav,यह बिल्कुल गलत,यह बिल्कुल गलत,0
5348024557507550_f193_chunk_5_subchunk_1.wav,यह बिल्कुल गलत है।।पहले से इसी एकदम सही बात है,यह बिल्कुल गलत है।।पहले से इसी एकदम सही बात है,-1
5348024557507550_f193_chunk_6_subchunk_1.wav,स्त्री और ग्रामीण लोगों का for example पढ़ने के लिए और एकदम सही बात है,स्त्री और ग्रामीण लोगों का for example पढ़ने के लिए और एकदम सही बात है,5
5348024557507550_f193_chunk_7_subchunk_1.wav,काम करने ke लिए please note,काम करने ke लिए please note,1
5348024557507550_f193_chunk_8_subchunk_1.wav,बहुत बहुत मौका nheen,बहुत बहुत मौका nheen,1
5348024557507550_f193_chunk_9_subchunk_1.wav,धन्यवाद,धन्यवाद,0
5348024557507552_f1502_chunk_0_subchunk_1.wav,में पहुँचकर हैदर सैयद गुट नाज़ुक के मुख्य को सुल्तान के रूप में स्थापित,में पहुँचकर हैदर सैयद गुट नाज़ुक के मुख्य को सुल्तान के रूप में स्थापित,0
5348024557507553_f1503_chunk_0_subchunk_1.wav,कतर [Qatar] का नागरिक अल जाबेर लीबियाई संघर्ष में मारे जाने वाले पहले पत्रकार हैं,कतर  का नागरिक अल जाबेर लीबियाई संघर्ष में मारे जाने वाले पहले पत्रकार हैं,1
