filename,ground_truth,vocab_list
5348024557506159_f698_chunk_1_subchunk_1.wav,कभी बेमौसम बारिश का मार कभी देर से आने वाले मॉनसून की वजह से,"['बेमौसम', 'मार', 'की', 'वाले', 'मॉनसून', 'आने', 'वजह', 'कभी', 'का', 'बारिश', 'देर', 'से']"
5348024557506159_f698_chunk_2_subchunk_1.wav,खासतौर पर जीरों की जो खेती,"['खेती', 'की', 'खासतौर', 'जीरों', 'जो', 'पर']"
5348024557506159_f698_chunk_3_subchunk_1.wav,यह बेमौसम,"['बेमौसम', 'यह']"
5348024557506159_f698_chunk_4_subchunk_1.wav,जो गुजराती में जिसे माउठू कहते हैं उसकी वजह से और आम का पाक जो सौराष्ट्र में ज़्यादातर लिया जाता,"['जाता', 'जिसे', 'पाक', 'में', 'लिया', 'उसकी', 'कहते', 'माउठू', 'हैं', 'आम', 'वजह', 'से', 'ज़्यादातर', 'सौराष्ट्र', 'का', 'जो', 'और', 'गुजराती']"
5348024557506159_f698_chunk_5_subchunk_1.wav,शुगरकेन गन्ने की जो खेती है उसको भी ज़्यादा बारिश,"['खेती', 'ज़्यादा', 'बारिश', 'शुगरकेन', 'की', 'भी', 'उसको', 'है', 'जो', 'गन्ने']"
5348024557506159_f698_chunk_6_subchunk_1.wav,,['nan']
5348024557506159_f698_chunk_7_subchunk_1.wav,,['nan']
5348024557506159_f698_chunk_8_subchunk_1.wav,दरिया किनारों के क्षेत्रों में प्रभावित होता है और जहाँ,"['जहाँ', 'में', 'दरिया', 'क्षेत्रों', 'किनारों', 'प्रभावित', 'है', 'होता', 'और', 'के']"
5348024557506159_f698_chunk_9_subchunk_1.wav,,['nan']
5348024557506161_f880_chunk_0_subchunk_1.wav,यदि एक महत्त्वपूर्ण त्रुटि होती है तो क्षतिग्रस्त कोशिका क्रमादेशित कोशिका मृत्यु,"['क्रमादेशित', 'क्षतिग्रस्त', 'होती', 'महत्त्वपूर्ण', 'मृत्यु', 'है', 'यदि', 'कोशिका', 'एक', 'तो', 'त्रुटि']"
5348024557506162_f1632_chunk_0_subchunk_1.wav,बताया कि कौण्डिन्य ने अपनी खोज के दौरान,"['कि', 'दौरान', 'कौण्डिन्य', 'ने', 'अपनी', 'खोज', 'बताया', 'के']"
5348024557506165_f2175_chunk_0_subchunk_1.wav,रिमोट सेंसर,"['सेंसर', 'रिमोट']"
5348024557506168_f1092_chunk_0_subchunk_1.wav,हल्का शास्त्रीय,"['शास्त्रीय', 'हल्का']"
5348024557506171_f1762_chunk_0_subchunk_1.wav,क्या आप हेयर,"['क्या', 'आप', 'हेयर']"
5348024557506172_f881_chunk_0_subchunk_1.wav,ब्रांड क्लासमेट के नए लॉन्च,"['ब्रांड', 'क्लासमेट', 'नए', 'लॉन्च', 'के']"
5348024557506173_f1757_chunk_0_subchunk_1.wav,क्या आप सत्यापित कर सकते हैं कि छह सौ,"['छह', 'कि', 'क्या', 'आप', 'सकते', 'हैं', 'कर', 'सौ', 'सत्यापित']"
5348024557506174_f1758_chunk_0_subchunk_1.wav,क्या आठ छः शून्य सात चार सात छः,"['सात', 'क्या', 'शून्य', 'आठ', 'छः', 'चार']"
5348024557506179_f1759_chunk_0_subchunk_1.wav,फ़ोन नम्बर सात सात आठ पाँच पाँच सात सात छः चार,"['पाँच', 'नम्बर', 'सात', 'फ़ोन', 'आठ', 'छः', 'चार']"
5348024557506180_f1760_chunk_0_subchunk_1.wav,टीका प्रमाणपत्र डाउनलोड करने के लिए कृपया आपके पंजीकृत फ़ोन नम्बर आठ एक पाँच चार,"['पाँच', 'करने', 'नम्बर', 'चार', 'पंजीकृत', 'फ़ोन', 'डाउनलोड', 'टीका', 'आठ', 'प्रमाणपत्र', 'आपके', 'लिए', 'एक', 'कृपया', 'के']"
5348024557506190_f1761_chunk_0_subchunk_1.wav,,['nan']
5348024557506195_f96_chunk_0_subchunk_1.wav,दरभंगा समस्तीपुर,"['समस्तीपुर', 'दरभंगा']"
5348024557506201_f547_chunk_0_subchunk_1.wav,हिंदी हमारी राष्ट्र,"['हिंदी', 'राष्ट्र', 'हमारी']"
5348024557506201_f547_chunk_1_subchunk_1.wav,हिंदी,['हिंदी']
5348024557506201_f547_chunk_2_subchunk_1.wav,सभी को बोलनी आती है जिससे हम,"['हम', 'सभी', 'जिससे', 'को', 'बोलनी', 'है', 'आती']"
5348024557506201_f547_chunk_3_subchunk_1.wav,कोई संकोच नहीं करते आसानी से हम अपनी बातों को दूसरे को समझा सकते हैं और लैंग्वेज में कठिनाई होती है सभी को नहीं आ रही होती है जैसे,"['होती', 'आसानी', 'अपनी', 'करते', 'है', 'समझा', 'में', 'दूसरे', 'हैं', 'जैसे', 'आ', 'संकोच', 'कठिनाई', 'सभी', 'बातों', 'नहीं', 'और', 'लैंग्वेज', 'सकते', 'हम', 'रही', 'को', 'कोई', 'से']"
5348024557506201_f547_chunk_4_subchunk_1.wav,और इंटरेस्टिंग क्या है आप जब भी हिंदी में कुछ बोलते हो तो,"['में', 'क्या', 'हिंदी', 'आप', 'कुछ', 'इंटरेस्टिंग', 'भी', 'हो', 'बोलते', 'जब', 'है', 'और', 'तो']"
5348024557506201_f547_chunk_5_subchunk_1.wav,में और निखार लाते हैं और अपनी भाषा को अच्छे से अच्छे शब्दों से सुशोभित करके तब आप,"['में', 'निखार', 'हैं', 'शब्दों', 'तब', 'करके', 'लाते', 'आप', 'को', 'सुशोभित', 'भाषा', 'अपनी', 'अच्छे', 'और', 'से']"
5348024557506201_f547_chunk_6_subchunk_1.wav,और हिंदी भाषा बहुत,"['हिंदी', 'बहुत', 'भाषा', 'और']"
5348024557506201_f547_chunk_7_subchunk_1.wav,इसमें गीत संगीत भी सुन तो सुनने में बहुत आनंद आनंद आता,"['सुनने', 'सुन', 'गीत', 'इसमें', 'में', 'भी', 'आनंद', 'तो', 'आता', 'बहुत', 'संगीत']"
5348024557506202_f299_chunk_0_subchunk_1.wav,मैं थोड़ी सफाई की,"['थोड़ी', 'मैं', 'सफाई', 'की']"
5348024557506202_f299_chunk_1_subchunk_1.wav,पड़े धोने के लिए पानी की पूरे दिन आवश्यकता होती रहती,"['धोने', 'पूरे', 'होती', 'की', 'दिन', 'लिए', 'आवश्यकता', 'पानी', 'रहती', 'पड़े', 'के']"
5348024557506202_f299_chunk_2_subchunk_1.wav,और मैं प्लांट्स लगा रखी हूँ तो मुझे उन प्लांट्स के लिए भी पानी की आवश्यकती,"['हूँ', 'उन', 'मुझे', 'रखी', 'प्लांट्स', 'मैं', 'की', 'आवश्यकती', 'लिए', 'भी', 'पानी', 'तो', 'और', 'लगा', 'के']"
5348024557506202_f299_chunk_3_subchunk_1.wav,तो मैं वेस्ट नहीं करती,"['वेस्ट', 'मैं', 'तो', 'नहीं', 'करती']"
5348024557506207_f546_chunk_0_subchunk_1.wav,मुझे शादी वियाह विवाह में अपने क्षेत्र के पारम्परिक गीत गाना बहुत पसंद है,"['मुझे', 'अपने', 'विवाह', 'में', 'गीत', 'पारम्परिक', 'गाना', 'है', 'पसंद', 'शादी', 'क्षेत्र', 'बहुत', 'वियाह', 'के']"
5348024557506207_f546_chunk_1_subchunk_1.wav,,['nan']
5348024557506210_f549_chunk_0_subchunk_1.wav,हमारे स्टेट के,"['हमारे', 'स्टेट', 'के']"
5348024557506210_f549_chunk_10_subchunk_1.wav,लेकिन जो पढ़े लिखे लोग हैं वह,"['लेकिन', 'हैं', 'लिखे', 'वह', 'लोग', 'जो', 'पढ़े']"
5348024557506210_f549_chunk_11_subchunk_1.wav,वह इन सब,"['वह', 'इन', 'सब']"
5348024557506210_f549_chunk_12_subchunk_1.wav,वह शिक्षा को,"['वह', 'को', 'शिक्षा']"
5348024557506210_f549_chunk_13_subchunk_1.wav,तो,['तो']
5348024557506210_f549_chunk_14_subchunk_1.wav,जिसके,['जिसके']
5348024557506210_f549_chunk_15_subchunk_1.wav,समाज का धीरे धीरे,"['का', 'समाज', 'धीरे']"
5348024557506210_f549_chunk_1_subchunk_1.wav,विद्यमान है जो कि एक क्रू कुप्रथा है जिसके तहत जाति का वर्गीकरण किया जाता है और इसके तहत जो निम्न वर्ग,"['क्रू', 'जाता', 'कि', 'इसके', 'विद्यमान', 'जाति', 'कुप्रथा', 'तहत', 'जिसके', 'वर्गीकरण', 'निम्न', 'किया', 'एक', 'का', 'है', 'जो', 'वर्ग', 'और']"
5348024557506210_f549_chunk_2_subchunk_1.wav,अब लोग शिक्षित हो रहे हैं,"['हैं', 'अब', 'हो', 'लोग', 'शिक्षित', 'रहे']"
5348024557506210_f549_chunk_3_subchunk_1.wav,जाति प्रथा को,"['जाति', 'को', 'प्रथा']"
5348024557506210_f549_chunk_4_subchunk_1.wav,का साहस होता जा रहा है जाति,"['जा', 'जाति', 'रहा', 'साहस', 'का', 'है', 'होता']"
5348024557506210_f549_chunk_5_subchunk_1.wav,लेकिन,['लेकिन']
5348024557506210_f549_chunk_6_subchunk_1.wav,गाँव सबके,"['गाँव', 'सबके']"
5348024557506210_f549_chunk_7_subchunk_1.wav,वर्ण,['वर्ण']
5348024557506210_f549_chunk_8_subchunk_1.wav,छूआ छूत,"['छूत', 'छूआ']"
5348024557506210_f549_chunk_9_subchunk_1.wav,भावना वि माइंड में,"['भावना', 'माइंड', 'में', 'वि']"
5348024557506216_f548_chunk_0_subchunk_1.wav,मुझे मुंशी प्रेमचंद के द्वारा रचित पुस्तकें बहुत पसंद हैं जिसमें,"['मुझे', 'जिसमें', 'हैं', 'पुस्तकें', 'पसंद', 'द्वारा', 'बहुत', 'प्रेमचंद', 'मुंशी', 'रचित', 'के']"
5348024557506216_f548_chunk_1_subchunk_1.wav,इसमें,['इसमें']
5348024557506216_f548_chunk_2_subchunk_1.wav,मुझे ईदगाह की कहानी,"['कहानी', 'मुझे', 'की', 'ईदगाह']"
5348024557506216_f548_chunk_3_subchunk_1.wav,जिसमें एक बच्चे,"['जिसमें', 'बच्चे', 'एक']"
5348024557506216_f548_chunk_4_subchunk_1.wav,जो माँ द्वारा प्राप्त पैसों से मेला घूमने जाता है और वहाँ मेला में उसके जितने पैसे,"['पैसों', 'जाता', 'पैसे', 'में', 'प्राप्त', 'उसके', 'मेला', 'से', 'घूमने', 'द्वारा', 'जितने', 'है', 'जो', 'वहाँ', 'और', 'माँ']"
5348024557506216_f548_chunk_5_subchunk_1.wav,तो इस कहानी के माध्यम से पुत्र और माँ और पुत्र के प्रेम की,"['माध्यम', 'प्रेम', 'इस', 'की', 'से', 'माँ', 'तो', 'कहानी', 'पुत्र', 'और', 'के']"
5348024557506216_f548_chunk_6_subchunk_1.wav,प्रेमचंद द्वारा रचित पुस्तकों,"['प्रेमचंद', 'पुस्तकों', 'रचित', 'द्वारा']"
5348024557506216_f548_chunk_7_subchunk_1.wav,पूस की रात,"['रात', 'पूस', 'की']"
5348024557506216_f548_chunk_8_subchunk_1.wav,इंसान की कहानी दिखाई बताई गई है जिसमें उसने पूस की,"['जिसमें', 'दिखाई', 'की', 'पूस', 'इंसान', 'उसने', 'है', 'कहानी', 'बताई', 'गई']"
5348024557506219_f1442_chunk_0_subchunk_1.wav,हिंदू देवताओं के नग्न चित्रण और भारत माता के नग्न चित्रण सहित,"['माता', 'नग्न', 'देवताओं', 'भारत', 'चित्रण', 'हिंदू', 'सहित', 'और', 'के']"
5348024557506220_f1441_chunk_0_subchunk_1.wav,रंगीला नाइन्टीन नाइन्टी फ़ाइव की बॉक्स ऑफ़िस पर,"['फ़ाइव', 'ऑफ़िस', 'की', 'नाइन्टीन', 'बॉक्स', 'रंगीला', 'नाइन्टी', 'पर']"
5348024557506223_f1444_chunk_0_subchunk_1.wav,मैं अरिजीत के गाने सुनना,"['अरिजीत', 'मैं', 'गाने', 'सुनना', 'के']"
5348024557506225_f1443_chunk_0_subchunk_1.wav,क्या आप मुझे कल मेरी मुलाकात,"['मुझे', 'क्या', 'आप', 'कल', 'मेरी', 'मुलाकात']"
5348024557506228_f1189_chunk_0_subchunk_1.wav,मैं लाना ग्रीन बोर्ड ग्रीन टी कुबेर इंडस्ट्रीज़ डिज़्नी प्रिंटेड कैनवस लॉन्ड्री बैग और बेल्ला,"['लाना', 'इंडस्ट्रीज़', 'प्रिंटेड', 'टी', 'मैं', 'ग्रीन', 'डिज़्नी', 'बेल्ला', 'कुबेर', 'बैग', 'लॉन्ड्री', 'बोर्ड', 'और', 'कैनवस']"
5348024557506229_f1451_chunk_0_subchunk_1.wav,क्या मिल्टन श्रेणी में,"['क्या', 'श्रेणी', 'मिल्टन', 'में']"
5348024557506231_f1452_chunk_0_subchunk_1.wav,मेरे महाराष्ट्र ग्रामीण बैंक,"['बैंक', 'ग्रामीण', 'महाराष्ट्र', 'मेरे']"
5348024557506232_f834_chunk_0_subchunk_1.wav,पिछले सात महीनों की,"['महीनों', 'सात', 'की', 'पिछले']"
5348024557506236_f1448_chunk_0_subchunk_1.wav,वर्तमान में बठिंडा ज़िले में कोई,"['में', 'बठिंडा', 'वर्तमान', 'कोई', 'ज़िले']"
5348024557506238_f1447_chunk_0_subchunk_1.wav,मैं ज़िले मैसूर में सशुल्क टीका ढूँढने की कोशिश,"['ढूँढने', 'में', 'कोशिश', 'मैं', 'सशुल्क', 'टीका', 'की', 'ज़िले', 'मैसूर']"
5348024557506240_f1449_chunk_0_subchunk_1.wav,,['nan']
5348024557506245_f1450_chunk_0_subchunk_1.wav,,['nan']
5348024557506263_f70_chunk_0_subchunk_1.wav,नहीं ऐसा एक्सपीरियंस मुझे nheen हुआ है,"['मुझे', 'हुआ', 'nheen', 'एक्सपीरियंस', 'नहीं', 'है', 'ऐसा']"
5348024557506269_f234_chunk_0_subchunk_1.wav,मैं मानती हूँ कि हमारा जो युवा प्रजन में है वह भी हमारे klchrl प्रैक्टिस को phॉlo करते हैं यह सही nheen है कि वह लोग मानते नहीं हैं लेकिन उन लोगों का तरीका थोड़ा अलग हो सकता है,"['हूँ', 'कि', 'प्रजन', 'प्रैक्टिस', 'लोग', 'तरीका', 'करते', 'है', 'जो', 'का', 'थोड़ा', 'उन', 'में', 'मैं', 'हैं', 'phॉlo', 'भी', 'हमारे', 'सकता', 'सही', 'लोगों', 'अलग', 'यह', 'मानती', 'नहीं', 'युवा', 'लेकिन', 'हमारा', 'मानते', 'nheen', 'वह', 'को', 'हो', 'klchrl']"
5348024557506271_f442_chunk_0_subchunk_1.wav,नहीं ऐसा कोई ऑर्गनाइजेशन नहीं hai,"['ऑर्गनाइजेशन', 'कोई', 'hai', 'नहीं', 'ऐसा']"
5348024557506273_f441_chunk_0_subchunk_1.wav,मेरे एरिया का कुछ लोकगीत है bihoo झुमुर और बोडो और karbi लोगों का जो लोकल संगीत है वह है,"['bihoo', 'लोगों', 'लोकल', 'एरिया', 'झुमुर', 'karbi', 'कुछ', 'वह', 'और', 'लोकगीत', 'बोडो', 'का', 'है', 'जो', 'मेरे', 'संगीत']"
5348024557506274_f71_chunk_0_subchunk_1.wav,nheen है,"['है', 'nheen']"
5348024557506275_f440_chunk_0_subchunk_1.wav,is बारे में मेरी जानकारी नहीं है,"['में', 'जानकारी', 'है', 'नहीं', 'बारे', 'मेरी', 'is']"
5348024557506276_f72_chunk_0_subchunk_1.wav,हमारे राज्य में जो काजीरंगा राष्ट्रीय उद्यान hai उसमें जो वन हॉर्न राइनों है वह बाकी स्तेत में नहीं पाए jate हैं,"['पाए', 'jate', 'स्तेत', 'हॉर्न', 'है', 'राष्ट्रीय', 'जो', 'में', 'हैं', 'उसमें', 'हमारे', 'hai', 'बाकी', 'वन', 'राइनों', 'नहीं', 'वह', 'उद्यान', 'काजीरंगा', 'राज्य']"
5348024557506277_f1975_chunk_0_subchunk_1.wav,दूल्हा शहद सबसे मीठा और सबसे achchha होता है,"['दूल्हा', 'शहद', 'मीठा', 'सबसे', 'achchha', 'है', 'होता', 'और']"
5348024557506278_f1976_chunk_0_subchunk_1.wav,यह पाम वैली के पास rashtreey राजमार्ग सात से जुड़ा है,"['पाम', 'सात', 'rashtreey', 'वैली', 'राजमार्ग', 'यह', 'से', 'पास', 'जुड़ा', 'है', 'के']"
5348024557506283_f2221_chunk_0_subchunk_1.wav,क्या बाउंटी seeज़ज़lrs डिलीवर करते हैं,"['बाउंटी', 'क्या', 'हैं', 'seeज़ज़lrs', 'डिलीवर', 'करते']"
5348024557506284_f1590_chunk_0_subchunk_1.wav,aakhiree सूचीबद्ध चीज़ को मिटा दो,"['aakhiree', 'सूचीबद्ध', 'दो', 'मिटा', 'को', 'चीज़']"
5348024557506287_f1007_chunk_0_subchunk_1.wav,क्या bingo पोटैटो चिप्स पर कोई ऑफ़र है,"['bingo', 'क्या', 'चिप्स', 'ऑफ़र', 'है', 'कोई', 'पोटैटो', 'पर']"
5348024557506288_f1981_chunk_0_subchunk_1.wav,डिलीवर कि गई चीज़ों में aary आर्गेनिक जेगरी पाउडर के कुछ डिब्बे गायब हैं,"['पाउडर', 'कि', 'गायब', 'जेगरी', 'में', 'डिब्बे', 'चीज़ों', 'हैं', 'कुछ', 'aary', 'आर्गेनिक', 'डिलीवर', 'के', 'गई']"
5348024557506289_f2225_chunk_0_subchunk_1.wav,क्या आप मेरे क्रेडिट kard और वाई फ़ाई बिल का अगले छ महीनों के लिए svth भुगतान कर सकते हैं,"['kard', 'क्या', 'महीनों', 'आप', 'कर', 'का', 'मेरे', 'अगले', 'हैं', 'फ़ाई', 'svth', 'बिल', 'भुगतान', 'और', 'के', 'क्रेडिट', 'छ', 'सकते', 'लिए', 'वाई']"
5348024557506292_f940_chunk_0_subchunk_1.wav,क्या आप इस kyoo आर kod को स्कैन कर सकते हैं और मेरे मध्यांचल ग्रामीण बैंक खाते को प्रमाणित कर सकते हैं,"['ग्रामीण', 'इस', 'प्रमाणित', 'क्या', 'बैंक', 'आप', 'सकते', 'हैं', 'स्कैन', 'कर', 'kod', 'kyoo', 'को', 'आर', 'मेरे', 'खाते', 'और', 'मध्यांचल']"
5348024557506294_f2226_chunk_0_subchunk_1.wav,mere ई पी एफ़ o पंजीकृत मोबाइल नम्बर छ पाँच तीन नौ आठ तीन आठ नौ पाँच सात चार पर ओ टी पी दोबारा भेजें,"['टी', 'मोबाइल', 'आठ', 'ओ', 'तीन', 'ई', 'पी', 'पाँच', 'mere', 'नम्बर', 'नौ', 'सात', 'दोबारा', 'पंजीकृत', 'एफ़', 'चार', 'o', 'छ', 'भेजें', 'पर']"
5348024557506296_f1078_chunk_0_subchunk_1.wav,मोबाइल नम्बर आठ सात नौ नौ दो नौ पाँच सात शून्य छः char के lie कोविन में लॉगिन करने के लिए ओ टी पी आठ चार paँch चार छः शून्य है,"['करने', 'टी', 'कोविन', 'मोबाइल', 'आठ', 'ओ', 'char', 'है', 'पी', 'लॉगिन', 'पाँच', 'नम्बर', 'नौ', 'सात', 'में', 'शून्य', 'चार', 'के', 'lie', 'दो', 'लिए', 'छः', 'paँch']"
5348024557506297_f1978_chunk_0_subchunk_1.wav,pkshee,['pkshee']
5348024557506305_f1979_chunk_0_subchunk_1.wav,chhod़o,['chhod़o']
5348024557506324_f709_chunk_0_subchunk_1.wav,मैं seeniree,"['मैं', 'seeniree']"
5348024557506324_f709_chunk_1_subchunk_1.wav,जो है वह अच्छी तरह से ड्रॉ कर सकती हूँ कलर कॉम्बिनेशन मेरा achchha होता है पर मैं jb कोई फोटो,"['हूँ', 'कर', 'है', 'जो', 'मेरा', 'कलर', 'मैं', 'तरह', 'सकती', 'jb', 'ड्रॉ', 'अच्छी', 'फोटो', 'होता', 'वह', 'से', 'कॉम्बिनेशन', 'achchha', 'कोई', 'पर']"
5348024557506324_f709_chunk_2_subchunk_1.wav,पिक्चर्स होता है और ड्रॉ करने ke लिए बैठती हूँ तब मेरा,"['हूँ', 'करने', 'मेरा', 'तब', 'लिए', 'ड्रॉ', 'है', 'होता', 'बैठती', 'और', 'ke', 'पिक्चर्स']"
5348024557506324_f709_chunk_3_subchunk_1.wav,हैर और चीन तक का ड्राइंग अच्छा रहता है लेकिन jb मैं नाक पर आती हूँ तब मेरा वह नाक अच्छा नहीं होता है इसलिए मैं कोई पिक्चर्स ड्रॉ करना nheen चाहती हूँ seenree,"['हूँ', 'पर', 'का', 'है', 'इसलिए', 'करना', 'मेरा', 'ड्राइंग', 'मैं', 'jb', 'ड्रॉ', 'रहता', 'अच्छा', 'चाहती', 'चीन', 'तब', 'नहीं', 'नाक', 'होता', 'तक', 'और', 'पिक्चर्स', 'लेकिन', 'nheen', 'हैर', 'वह', 'seenree', 'कोई', 'आती']"
5348024557506324_f709_chunk_4_subchunk_1.wav,ड्रॉ करना मुझे अच्छा lgta है,"['मुझे', 'lgta', 'ड्रॉ', 'है', 'करना', 'अच्छा']"
5348024557506325_f707_chunk_0_subchunk_1.wav,हाँ हमारे गाँव में एक तालाब है और us तालाब का पानी हम,"['का', 'तालाब', 'us', 'में', 'हम', 'है', 'हमारे', 'एक', 'पानी', 'गाँव', 'हाँ', 'और']"
5348024557506325_f707_chunk_1_subchunk_1.wav,खेती करने ke लिए इस्तेमाल करते हैं,"['खेती', 'करने', 'इस्तेमाल', 'हैं', 'लिए', 'करते', 'ke']"
5348024557506325_f707_chunk_2_subchunk_1.wav,औ बारिश के दिनों में हम उसको बांध डाल कर वह पूरा स्टोर करके रखते हैं और सर जब grmiyon ke दिनों में हम जब एग्रीकल्चर खेती करने के लिए जाते हैं तब वह बांध छो छोटा सा usko,"['करने', 'सर', 'करके', 'कर', 'छो', 'पूरा', 'दिनों', 'एग्रीकल्चर', 'औ', 'में', 'हैं', 'usko', 'स्टोर', 'बारिश', 'ke', 'जाते', 'खेती', 'बांध', 'डाल', 'grmiyon', 'तब', 'सा', 'छोटा', 'और', 'के', 'हम', 'रखते', 'वह', 'लिए', 'जब', 'उसको']"
