Filename,Transcription,vocab_list
5348024557503428_f206_chunk_6_subchunk_1_QC1_4_silence_insertion.wav,हेल्थकेयर,['हेल्थकेयर']
5348024557503365_f365_chunk_4_subchunk_1_QC1_3_sample_rate_reduction.wav,जोभी बाल्यू सम सीड़ कड़ रहे हैं उसकी वजह से पेंटिंग तो बन जाता था और,"['रहे', 'तो', 'बन', 'जाता', 'सीड़', 'और', 'था', 'से', 'सम', 'जोभी', 'उसकी', 'कड़', 'पेंटिंग', 'वजह', 'हैं', 'बाल्यू']"
5348024557503661_f632_chunk_4_subchunk_1_QC1_5_upsampling_simulation.wav,कॉलेजर यूनिवर्सिटीज है स्कूल की अगर बात किया जाए तो बहुत अच्छे अच्छे बैंगॉल मीडियम स्कूलस सी है जैसे नवनालअंदा साउथ प्ॉइंट,"['की', 'बात', 'नवनालअंदा', 'तो', 'अच्छे', 'मीडियम', 'है', 'स्कूल', 'जाए', 'साउथ', 'कॉलेजर', 'बहुत', 'स्कूलस', 'प्ॉइंट', 'यूनिवर्सिटीज', 'अगर', 'बैंगॉल', 'जैसे', 'सी', 'किया']"
5348024557503596_f133_chunk_11_subchunk_1_QC1_5_upsampling_simulation.wav,नहीं करना पड़ता दूसरा चगा नहीं ढूँढ़ना पड़ता इसलिए हम लोग सारे लोग जैसेकि अकर फैमिली,"['नहीं', 'लोग', 'ढूँढ़ना', 'इसलिए', 'करना', 'चगा', 'सारे', 'जैसेकि', 'अकर', 'फैमिली', 'हम', 'दूसरा', 'पड़ता']"
5348024557503164_f900_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,मुझे यूए नम्बर ँ वाे ाते के लिए ईपीएफस्टेटमेंट चाहिए,"['नम्बर', 'यूए', 'के', 'मुझे', 'ाते', 'ँ', 'ईपीएफस्टेटमेंट', 'चाहिए', 'वाे', 'लिए']"
5348024557503366_f114_chunk_3_subchunk_1_QC1_3_sample_rate_reduction.wav,थोड़ा फूलों का डिजाइन बनाना मुझे बहुत प्रसन्न है,"['डिजाइन', 'मुझे', 'का', 'बनाना', 'थोड़ा', 'है', 'प्रसन्न', 'बहुत', 'फूलों']"
5348024557503460_f1333_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,बिल्ली,['बिल्ली']
5348024557503736_f1693_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,मॉकेन आलुटिकी इनाटूर आमलाहेरक्रिम और प्यूरामेट लिक्विट फूट कॉलर की मात्रा बदले क्योंकि उनकी वर्तमान मात्रा भंडर में नहीं है,"['की', 'आलुटिकी', 'है', 'लिक्विट', 'बदले', 'मात्रा', 'आमलाहेरक्रिम', 'उनकी', 'कॉलर', 'फूट', 'वर्तमान', 'में', 'मॉकेन', 'नहीं', 'क्योंकि', 'और', 'भंडर', 'इनाटूर', 'प्यूरामेट']"
5348024557503366_f114_chunk_7_subchunk_1_QC1_3_sample_rate_reduction.wav,एक ही फ्लबर को सेकेंड टाइम ्रॉल कर रहेथे तो भी ो उसी तरह नहीं निकल रहाए क्योंकि हमारे कलामिक्शिन के कारण जितना भी टइंटिंग हम करें उतनी धार तो अलग अलग ही दीख रहा या और मुझे वो करना बहुत प्रसंद है,"['कलामिक्शिन', 'तो', 'उतनी', 'दीख', 'मुझे', 'या', 'है', 'रहा', 'टाइम', 'अलग', 'टइंटिंग', 'करें', 'निकल', 'कर', 'भी', 'बहुत', 'प्रसंद', 'को', 'के', 'कारण', 'करना', 'सेकेंड', 'हमारे', 'वो', 'फ्लबर', 'रहाए', 'हम', 'उसी', 'तरह', 'नहीं', 'ो', 'क्योंकि', 'एक', 'धार', 'और', 'रहेथे', 'ही', '्रॉल', 'जितना']"
5348024557503367_f364_chunk_14_subchunk_1_QC1_3_sample_rate_reduction.wav,बहुत कुछ सीखना पड़ता है और उनके साथ बैठते सब कुछ समेटरीकल इमेज बनाना ो बहुत सीखना और उसके लिए पूरा ज्यादा मेहनत करना पड़ता है कि इसके लिए भी,"['उसके', 'सीखना', 'इसके', 'बनाना', 'है', 'पूरा', 'कुछ', 'पड़ता', 'लिए', 'मेहनत', 'ज्यादा', 'समेटरीकल', 'भी', 'बहुत', 'इमेज', 'करना', 'उनके', 'सब', 'बैठते', 'ो', 'और', 'साथ', 'कि']"
5348024557503691_f1261_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,तीन,['तीन']
5348024557503534_f354_chunk_5_subchunk_1_QC1_4_silence_insertion.wav,ा पर अभी,"['पर', 'अभी', 'ा']"
5348024557503192_f254_chunk_5_subchunk_1_QC1_3_sample_rate_reduction.wav,बहुत अच्छा लगता है गाने के लिए उसलेँ,"['अच्छा', 'के', 'लिए', 'लगता', 'है', 'बहुत', 'उसलेँ', 'गाने']"
5348024557503734_f1694_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,मेरे उत्पाद के अरडर बायोटिक बायोआल्मंट आइक्रिम को दो पैकेट रंगीला क्रिेटिफ क्लेपेक से बदले,"['को', 'क्लेपेक', 'के', 'आइक्रिम', 'से', 'दो', 'पैकेट', 'बायोआल्मंट', 'रंगीला', 'क्रिेटिफ', 'अरडर', 'उत्पाद', 'मेरे', 'बदले', 'बायोटिक']"
5348024557503409_f30_chunk_6_subchunk_1_QC1_4_silence_insertion.wav,न,['न']
5348024557503656_f273_chunk_11_subchunk_1_QC1_5_upsampling_simulation.wav,तो फिर वो कैसे वो उसे बाहर निकालता है कहसे वो एक क्राइम की दुनिया में फंस जाता है और आखिरकार वो कैसे वहाँ से निकलके एक अच्छी जिंदगी,"['की', 'जिंदगी', 'तो', 'क्राइम', 'उसे', 'है', 'दुनिया', 'फंस', 'बाहर', 'आखिरकार', 'निकलके', 'जाता', 'वो', 'में', 'से', 'अच्छी', 'निकालता', 'वहाँ', 'एक', 'और', 'कहसे', 'कैसे', 'फिर']"
5348024557503604_f750_chunk_24_subchunk_1_QC1_5_upsampling_simulation.wav,और वोह अगर किसी का बदे है और,"['किसी', 'और', 'का', 'अगर', 'बदे', 'है', 'वोह']"
5348024557503365_f365_chunk_7_subchunk_1_QC1_3_sample_rate_reduction.wav,ऑफरीहन ब्रॉइंग में तो उतना सिमेटरी नहीं आ जाता हैतो किसी भी छूल को यूज करके बिना जो भी फ्री हैन ब्रॉइग है वो मुझे बहुत प्रसंन है करने के लिए,"['तो', 'फ्री', 'आ', 'मुझे', 'है', 'ब्रॉइंग', 'लिए', 'किसी', 'भी', 'ऑफरीहन', 'बहुत', 'को', 'हैन', 'के', 'जाता', 'ब्रॉइग', 'वो', 'में', 'जो', 'बिना', 'प्रसंन', 'करने', 'सिमेटरी', 'करके', 'नहीं', 'हैतो', 'यूज', 'छूल', 'उतना']"
5348024557503640_f503_chunk_1_subchunk_1_QC1_5_upsampling_simulation.wav,मेरे हेयरफॉल बढ़ गए मेरे डैन्रफ बढ़ गए पता नहीं क्या हुआ लेकिन य तेल मेरे लिए बिल्कुल भी कोई काम नहीं किया,"['नहीं', 'गए', 'डैन्रफ', 'लेकिन', 'काम', 'हेयरफॉल', 'तेल', 'बिल्कुल', 'य', 'पता', 'कोई', 'बढ़', 'भी', 'मेरे', 'हुआ', 'किया', 'क्या', 'लिए']"
5348024557503161_f1569_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,क्या आप अपने ईपीएस को पंजीकृत मोबाइल नं्बर ँ शून्य पर भेजा गया छह अंगों का,"['को', 'अपने', 'अंगों', 'आप', 'भेजा', 'का', 'नं्बर', 'पर', 'शून्य', 'मोबाइल', 'गया', 'ँ', 'ईपीएस', 'पंजीकृत', 'क्या', 'छह']"
5348024557503583_f464_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,जुलाई अक्टूबर दिसंबर,"['जुलाई', 'अक्टूबर', 'दिसंबर']"
5348024557503560_f1925_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,क्या अगर बत्तियां किसी अन्य ब्रांड में उपलब्ध है,"['बत्तियां', 'किसी', 'अन्य', 'अगर', 'उपलब्ध', 'में', 'ब्रांड', 'है', 'क्या']"
5348024557503361_f113_chunk_1_subchunk_1_QC1_3_sample_rate_reduction.wav,आप पेंसु केचिंग स्री हैं्रॉइंग और अमंडाला पेंटिंग डॉट अपेंसिंग सब कुछ में मुझे ही बहुत शॉट है आ तो कोविद के टाइम में जब मुझे ज्यादा ठाई मिला था उस समय मैंने खेरला मेरल पेंटिंग भी सीखा था और मिनवा खर के कुरियन पेटिंग एक है और मिन्वा पेटिग के बारे भी मैंने,"['सीखा', 'बारे', 'मिन्वा', 'तो', 'जब', 'आप', 'मुझे', 'आ', 'स्री', 'कोविद', 'है', 'पेंसु', 'टाइम', 'मेरल', 'पेंटिंग', 'हैं्रॉइंग', 'कुछ', 'ठाई', 'उस', 'ज्यादा', 'अमंडाला', 'पेटिग', 'समय', 'केचिंग', 'पेटिंग', 'भी', 'कुरियन', 'डॉट', 'बहुत', 'मैंने', 'मिनवा', 'के', 'सब', 'था', 'में', 'मिला', 'शॉट', 'खेरला', 'एक', 'और', 'ही', 'अपेंसिंग', 'खर']"
5348024557503141_f123_chunk_1_subchunk_1_QC1_3_sample_rate_reduction.wav,यह काफी बॉरग नहीं होगा जब भी आप उदास महसूस करें बस राप के आकाश में देखें और तो आपको खुश कर देंगे क्योंकि ये चीऐसी चीज है जो,"['महसूस', 'तो', 'जब', 'आप', 'काफी', 'है', 'यह', 'आकाश', 'करें', 'ये', 'राप', 'कर', 'भी', 'के', 'चीऐसी', 'देखें', 'देंगे', 'में', 'जो', 'उदास', 'बॉरग', 'नहीं', 'क्योंकि', 'बस', 'और', 'होगा', 'आपको', 'चीज', 'खुश']"
5348024557503604_f750_chunk_21_subchunk_1_QC1_5_upsampling_simulation.wav,तेल गर्म कर के उसके ऊपर से एकराव दोराव दोराउंड राउंन करके एक रोटी बनते उस सहम,"['करके', 'एकराव', 'दोराव', 'उसके', 'उस', 'के', 'दोराउंड', 'एक', 'तेल', 'ऊपर', 'से', 'बनते', 'कर', 'राउंन', 'सहम', 'गर्म', 'रोटी']"
5348024557503486_f36_chunk_4_subchunk_1_QC1_4_silence_insertion.wav,पैसा जो भी आया हो फिर भी उनको घर के कामों में उतना ही इनवॉल्ब होना पड़ता है वहां पे उनको कोई सपोर्ट करने वाला नहीं होता ै तो मुझे लगता है कि अभी ी उनको अपनी जो पोटेंशियल है वहां तक पहुंचने के लिए काफी मसक्त करनी पड़ती है,"['तो', 'पोटेंशियल', 'सपोर्ट', 'मुझे', 'फिर', 'काफी', 'है', 'पहुंचने', 'तक', 'पड़ता', 'लिए', 'कामों', 'घर', 'अभी', 'कोई', 'ै', 'भी', 'वाला', 'इनवॉल्ब', 'वहां', 'के', 'आया', 'उनको', 'में', 'जो', 'पैसा', 'करने', 'अपनी', 'हो', 'ी', 'नहीं', 'होना', 'होता', 'करनी', 'ही', 'लगता', 'मसक्त', 'पड़ती', 'पे', 'कि', 'उतना']"
5348024557503428_f206_chunk_5_subchunk_1_QC1_4_silence_insertion.wav,अगर हम महिलाओं की बात करें तो उनके लिए भी बहुत सारे कोर्सेस है जो जिसमें वो आगे बढ़ सकते हैं फॉर एग्जांपल हॉटिल मैनेजमेंट है टूरिज्म हैं,"['की', 'बात', 'कोर्सेस', 'आगे', 'तो', 'सकते', 'महिलाओं', 'फॉर', 'टूरिज्म', 'है', 'लिए', 'करें', 'बढ़', 'भी', 'हैं', 'बहुत', 'उनके', 'सारे', 'वो', 'जो', 'जिसमें', 'मैनेजमेंट', 'हम', 'अगर', 'एग्जांपल', 'हॉटिल']"
5348024557503497_f926_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,मुझे मेरे कार्यक्रमों के बारे में और बताए,"['बारे', 'कार्यक्रमों', 'के', 'मुझे', 'और', 'में', 'बताए', 'मेरे']"
5348024557503664_f502_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,और मैंने कभी कोई ट्रेडिशनल कपड़े बनाने की भी कोशिश नहीं की है मैंने हमेशा खरीदी हुई कपड़े मतलब रेडीमेंट कपड़े ही पहने हैं और अगर कुज भी बनवाना हो तो एकदो कपड़े एकदो कुर्ती मैंने बनवाई थी दर्जी से,"['की', 'हमेशा', 'कोशिश', 'तो', 'एकदो', 'थी', 'दर्जी', 'है', 'कपड़े', 'बनवाना', 'बनाने', 'ट्रेडिशनल', 'खरीदी', 'रेडीमेंट', 'कोई', 'भी', 'हैं', 'मैंने', 'मतलब', 'कुर्ती', 'से', 'कुज', 'हो', 'हुई', 'नहीं', 'और', 'पहने', 'अगर', 'ही', 'कभी', 'बनवाई']"
5348024557503524_f581_chunk_2_subchunk_1_QC1_4_silence_insertion.wav,फरखे दोनों में,"['दोनों', 'में', 'फरखे']"
5348024557503570_f1929_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,क्या आप राज्य उत्तर प्रदेश में केद्र प्रकार रिजनल ऑफिस वाले ईएसआईसी केंद्रों के ढूंढने में मद कर सकते हैं,"['उत्तर', 'आप', 'प्रकार', 'ईएसआईसी', 'सकते', 'मद', 'वाले', 'ऑफिस', 'रिजनल', 'कर', 'हैं', 'क्या', 'के', 'में', 'ढूंढने', 'केंद्रों', 'राज्य', 'प्रदेश', 'केद्र']"
5348024557503555_f1924_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,क्या कोई भी हाल ही में ईमेल है,"['हाल', 'में', 'ही', 'ईमेल', 'कोई', 'है', 'भी', 'क्या']"
5348024557503725_f1690_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,ऑडर करके अपनी जाहस से मालबेचने की लागत,"['करके', 'की', 'जाहस', 'ऑडर', 'से', 'लागत', 'मालबेचने', 'अपनी']"
5348024557503661_f632_chunk_12_subchunk_1_QC1_5_upsampling_simulation.wav,ह इलेवन ट्वेल्फ में ज्यादातर लोग साइनस ही लेते हैं साइन से प्रेशर करते हैं,"['ट्वेल्फ', 'साइनस', 'लेते', 'में', 'इलेवन', 'ह', 'ही', 'साइन', 'से', 'प्रेशर', 'ज्यादातर', 'हैं', 'करते', 'लोग']"
5348024557503208_f952_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,नवीनतम ईमेल दिखाए,"['ईमेल', 'दिखाए', 'नवीनतम']"
5348024557503728_f1164_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,प्रत्येक बिंदु के लिए सर्वर केंद्रचिन्ना और किनारे के बीच आधरेखा के पीछे शुरू होता है,"['सर्वर', 'के', 'बिंदु', 'होता', 'केंद्रचिन्ना', 'और', 'बीच', 'शुरू', 'है', 'किनारे', 'प्रत्येक', 'आधरेखा', 'पीछे', 'लिए']"
5348024557503365_f365_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,द सॉफ्टवेर और ऐप के बारे में बताने है पेंटिंग में तो मैंने दुबारा कोरल ड्रॉमंक्वाई किया था,"['बारे', 'द', 'तो', 'ऐप', 'बताने', 'के', 'दुबारा', 'और', 'ड्रॉमंक्वाई', 'था', 'में', 'सॉफ्टवेर', 'है', 'कोरल', 'पेंटिंग', 'मैंने', 'किया']"
5348024557503306_f721_chunk_1_subchunk_1_QC1_3_sample_rate_reduction.wav,कभीकभी मुझे ऐसी किताबें भी मिल जाती है जिनको समझना काफी मुश्किल पड़ता हैकुछ किताबें ऐसी होती है जो हमारी बुद्वि तक कोई हिला डालती है,"['कभीकभी', 'हिला', 'किताबें', 'मुझे', 'काफी', 'होती', 'है', 'तक', 'समझना', 'पड़ता', 'ऐसी', 'कोई', 'भी', 'मुश्किल', 'बुद्वि', 'जो', 'हमारी', 'जिनको', 'जाती', 'हैकुछ', 'डालती', 'मिल']"
5348024557503604_f750_chunk_6_subchunk_1_QC1_5_upsampling_simulation.wav,ये क्या फेकैलिबोंग है जहाँ पर भी ये सारे मिलते हैं और,"['जहाँ', 'ये', 'और', 'सारे', 'मिलते', 'पर', 'है', 'फेकैलिबोंग', 'भी', 'हैं', 'क्या']"
5348024557503596_f133_chunk_4_subchunk_1_QC1_5_upsampling_simulation.wav,मैं अपने पास में मां पापा और मेरी बुआ जो हमारे साथ रहती है मैं उनको बिठाके सिर्फ उनसे बातें करती हूँ मतलब इसलिए,"['बातें', 'पास', 'है', 'उनसे', 'पापा', 'रहती', 'मैं', 'बिठाके', 'सिर्फ', 'करती', 'मां', 'मतलब', 'इसलिए', 'हमारे', 'उनको', 'में', 'जो', 'हूँ', 'अपने', 'और', 'मेरी', 'बुआ', 'साथ']"
5348024557503487_f35_chunk_3_subchunk_1_QC1_4_silence_insertion.wav,हर अभिहीन जो भी होमलिस लोग हैं उनको फिर से पुनर्निवास करवाने के लिए काम करती ह इसके अलावा बहुत सारे कई गर्मेंट की अदी हुई,"['की', 'इसके', 'गर्मेंट', 'लिए', 'करवाने', 'करती', 'ह', 'पुनर्निवास', 'भी', 'हैं', 'कई', 'बहुत', 'अलावा', 'के', 'होमलिस', 'काम', 'उनको', 'से', 'सारे', 'जो', 'अदी', 'लोग', 'हुई', 'अभिहीन', 'हर', 'फिर']"
5348024557503367_f364_chunk_17_subchunk_1_QC1_3_sample_rate_reduction.wav,बहुत सारा सपोर् मिलना ही चाहिए और ज्यादा मिलना चाहिए अगर उस फंडिंग के बारे में लोगों को ज्यादातर बता न चाहिए क्योंकि जो भी फंडिंग है जो भी अवायलबल है वो हमें पता भी नहीं है तो हो स,"['बारे', 'तो', 'है', 'उस', 'ज्यादा', 'न', 'भी', 'सारा', 'बहुत', 'चाहिए', 'बता', 'को', 'स', 'के', 'अवायलबल', 'वो', 'में', 'जो', 'ज्यादातर', 'हो', 'लोगों', 'फंडिंग', 'नहीं', 'क्योंकि', 'और', 'हमें', 'अगर', 'मिलना', 'ही', 'पता', 'सपोर्']"
5348024557503409_f30_chunk_5_subchunk_1_QC1_4_silence_insertion.wav,क जानवरी,"['जानवरी', 'क']"
5348024557503574_f1931_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,ल,['ल']
5348024557503327_f898_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,क्या द लॉफिंग काउ सीस प्रेड पर एक खरीदो और एक मुफ्त पावर उपलब्ध है,"['द', 'लॉफिंग', 'एक', 'और', 'पावर', 'उपलब्ध', 'काउ', 'पर', 'खरीदो', 'है', 'सीस', 'मुफ्त', 'क्या', 'प्रेड']"
5348024557503549_f580_chunk_5_subchunk_1_QC1_4_silence_insertion.wav,दूसरा ये है अब अकि अतिथि देवो भवा,"['अकि', 'अतिथि', 'ये', 'अब', 'देवो', 'भवा', 'है', 'दूसरा']"
5348024557503716_f15_chunk_5_subchunk_1_QC1_5_upsampling_simulation.wav,फि जैसे म नंबर वन पर खड़ी हो गई अब अगलेबंदे ने बोलदि या नंबर फाइफ अ मुझे फिफ्त ब्लॉक पे जम करना बिना घिरे और बिना किसी और ब्लॉक पें पयार रखें एक गेम यह होती थी,"['अगलेबंदे', 'ने', 'पें', 'मुझे', 'बोलदि', 'गई', 'रखें', 'थी', 'या', 'होती', 'यह', 'फि', 'खड़ी', 'किसी', 'वन', 'घिरे', 'ब्लॉक', 'गेम', 'करना', 'अ', 'जम', 'पयार', 'बिना', 'फाइफ', 'हो', 'नंबर', 'फिफ्त', 'एक', 'अब', 'और', 'पर', 'जैसे', 'पे', 'म']"
5348024557503664_f502_chunk_5_subchunk_1_QC1_5_upsampling_simulation.wav,मतलब नीट करने की या स्टीच करने की सिलने की कभी मैंने कोई कोशिश नहीं की है,"['की', 'नहीं', 'मतलब', 'कोशिश', 'नीट', 'स्टीच', 'या', 'कोई', 'है', 'करने', 'सिलने', 'कभी', 'मैंने']"
5348024557503322_f1834_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,यदि बराबरी इकीसिकीस पर होती है तो प्रत्येक दल एक विजयता निर्धारित होने तक एकएक सर्व करता है,"['इकीसिकीस', 'तो', 'विजयता', 'सर्व', 'निर्धारित', 'एक', 'यदि', 'करता', 'पर', 'होती', 'है', 'एकएक', 'प्रत्येक', 'तक', 'बराबरी', 'होने', 'दल']"
5348024557503416_f607_chunk_5_subchunk_1_QC1_4_silence_insertion.wav,और अपने सपने पूरे करने के लिए वो अपनी उड़ान भर सकती है नए भारत में बेटियों के लिए महिलाओं के लिए,"['सपने', 'अपने', 'सकती', 'के', 'उड़ान', 'बेटियों', 'और', 'नए', 'वो', 'में', 'महिलाओं', 'है', 'भारत', 'करने', 'पूरे', 'अपनी', 'भर', 'लिए']"
5348024557503661_f632_chunk_7_subchunk_1_QC1_5_upsampling_simulation.wav,अजिरबिल्ला तो है बहुत से अच्छे अच्छे फ्यूचर फाउंडेशन बहुत साथे अच्छे अच्छे,"['फाउंडेशन', 'साथे', 'तो', 'अच्छे', 'फ्यूचर', 'से', 'है', 'अजिरबिल्ला', 'बहुत']"
5348024557503195_f318_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,यहाँ के लोग तो अपने लेये टाइम हर मुंह करके आरांम करते हैं,"['करके', 'तो', 'अपने', 'मुंह', 'के', 'आरांम', 'हर', 'यहाँ', 'लेये', 'टाइम', 'करते', 'लोग', 'हैं']"
5348024557503486_f36_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,अभी औरतों को घर से बाहर निकल के काम करने की आजादी मिली है अपनी मंचाही पढ़ाई करन की आजादी मिली है उनअनी हिसाब से,"['की', 'हिसाब', 'है', 'करन', 'उनअनी', 'घर', 'निकल', 'अभी', 'बाहर', 'को', 'के', 'काम', 'से', 'मिली', 'करने', 'अपनी', 'आजादी', 'औरतों', 'मंचाही', 'पढ़ाई']"
5348024557503178_f115_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,बाई,['बाई']
5348024557503604_f750_chunk_19_subchunk_1_QC1_5_upsampling_simulation.wav,मिक्स करके जादा ने थोड़ा मैदान क्स करके चीनी और ये दाल चीनी सों,"['करके', 'मिक्स', 'ने', 'दाल', 'जादा', 'और', 'ये', 'मैदान', 'थोड़ा', 'चीनी', 'सों', 'क्स']"
5348024557503615_f863_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,डीईए गुआम में नशे की लत बढ़ रही है,"['की', 'नशे', 'में', 'है', 'गुआम', 'बढ़', 'डीईए', 'रही', 'लत']"
5348024557503654_f270_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,और हाँ उन सारे शोर में उन सारे यूट्यूब चैनल्स में ट्रेडिशनल डामसेज आ,"['ट्रेडिशनल', 'हाँ', 'और', 'आ', 'सारे', 'में', 'उन', 'चैनल्स', 'यूट्यूब', 'शोर', 'डामसेज']"
5348024557503357_f316_chunk_1_subchunk_1_QC1_3_sample_rate_reduction.wav,मुम्बई,['मुम्बई']
5348024557503409_f30_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,जून,['जून']
5348024557503242_f390_chunk_7_subchunk_1_QC1_3_sample_rate_reduction.wav,प्राइवेट डॉक्टर से ज्यादा अच्छी ट्रीटमेंट मिली लेकिन उनका जो प्रिपयरेस था,"['प्राइवेट', 'ज्यादा', 'ट्रीटमेंट', 'लेकिन', 'था', 'से', 'मिली', 'अच्छी', 'जो', 'प्रिपयरेस', 'उनका', 'डॉक्टर']"
5348024557503255_f588_chunk_5_subchunk_1_QC1_3_sample_rate_reduction.wav,सोकहीं भी जाओ सिर्फ एरीक्रिएशन ही हो जाता है अ कल्चरल एक्टिविटीज में पुणे इमच अहेड औ सो यहाँ पे,"['एक्टिविटीज', 'है', 'सो', 'पुणे', 'सिर्फ', 'सोकहीं', 'इमच', 'भी', 'जाता', 'अ', 'यहाँ', 'में', 'अहेड', 'कल्चरल', 'हो', 'जाओ', 'औ', 'ही', 'पे', 'एरीक्रिएशन']"
