age_group,lang,job_type,gender,scenario,age-group,task_name,sp_id,native_language,fname,text,occupation,native_district,occupation_domain,verbatim,duration,qc1_applied,native_state,qual,job_category,normalized
18-30,hi,White Collar,Female,Read,18-30,Keywords,9720900365812,Marathi,5348024557502765_f2240_chunk_0_subchunk_1.wav,बिल्ली,Project Officer,Yavatmal,Education and Research,बिल्ली,0.544,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,बिल्ली
18-30,hi,White Collar,Female,Read,18-30,Keywords,9720900365812,Marathi,5348024557502766_f2036_chunk_0_subchunk_1.wav,चार,Project Officer,Yavatmal,Education and Research,चार,0.768,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,चार
18-30,hi,White Collar,Female,Extempore,18-30,Task of Fives,9720900365812,Marathi,5348024557502771_f402_chunk_0_subchunk_1.wav,एक जनवरी उन्नीस सौ अट्ठानवे दो फरवरी दो हज़ार बारह,Project Officer,Yavatmal,Education and Research,एक जनवरी उन्नीस सौ अट्ठानवे दो फरवरी दो हज़ार बारह,4.654,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,एक जनवरी [January] उन्नीस सौ अट्ठानवे दो फरवरी [February] दो हज़ार बारह
18-30,hi,White Collar,Female,Extempore,18-30,Task of Fives,9720900365812,Marathi,5348024557502771_f402_chunk_1_subchunk_1.wav,तीन मार्च दो हज़ार उन्नीस चार दिसम्बर दो हज़ार पंद्रह सोलह मई उन्नीस सौ पचास,Project Officer,Yavatmal,Education and Research,तीन मार्च दो हज़ार उन्नीस चार दिसम्बर दो हज़ार पंद्रह सोलह मई उन्नीस सौ पचास,7.865,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,तीन मार्च [March] दो हज़ार उन्नीस चार दिसम्बर [December] दो हज़ार पंद्रह सोलह मई [May] उन्नीस सौ पचास
18-30,hi,White Collar,Female,Extempore,18-30,Task of Fives,9720900365812,Marathi,5348024557502773_f399_chunk_0_subchunk_1.wav,ठाणे,Project Officer,Yavatmal,Education and Research,ठाणे,0.742,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,ठाणे
18-30,hi,White Collar,Female,Extempore,18-30,Task of Fives,9720900365812,Marathi,5348024557502773_f399_chunk_1_subchunk_1.wav,नागपुर,Project Officer,Yavatmal,Education and Research,नागपुर,1.0029375,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,नागपुर
18-30,hi,White Collar,Female,Extempore,18-30,Task of Fives,9720900365812,Marathi,5348024557502773_f399_chunk_2_subchunk_1.wav,पुणे,Project Officer,Yavatmal,Education and Research,पुणे,0.585,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,पुणे
18-30,hi,White Collar,Female,Extempore,18-30,Task of Fives,9720900365812,Marathi,5348024557502773_f399_chunk_3_subchunk_1.wav,यवतमाल,Project Officer,Yavatmal,Education and Research,यवतमाल,0.808,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,यवतमाल
18-30,hi,White Collar,Female,Extempore,18-30,Task of Fives,9720900365812,Marathi,5348024557502773_f399_chunk_4_subchunk_1.wav,चंद्रपुर,Project Officer,Yavatmal,Education and Research,चंद्रपुर,0.622,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,चंद्रपुर
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_0_subchunk_1.wav,भारत का जो पहनावा है जो फ़ैशन है वह काफ़ी साल में बहुत बदलता हुआ दिखाई देता है जैसे मेरी,Project Officer,Yavatmal,Education and Research,भारत का जो पहनावा है जो फ़ैशन है वो काफ़ी साल में बहुत बदलता हुआ दिखाई देता है जैसे [uhh] मेरी,10.047,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,भारत का जो पहनावा है जो फ़ैशन [Fashion] है वह काफ़ी साल में बहुत बदलता हुआ दिखाई देता है जैसे [uhh] मेरी
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_10_subchunk_1.wav,उसको महत्त्व दिया करते थे लोग पर अभी के आज के दिनों में,Project Officer,Yavatmal,Education and Research,उसको महत्त्व दिया करते थे लोग पर अभी के [uhh] आज के दिनों में,6.111,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,उसको महत्त्व दिया करते थे लोग पर अभी के [uhh] आज के दिनों में
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_11_subchunk_1.wav,फ़ास्ट फ़ैशन आये हैं और जो ब्रांड्स है जो सारी कंपनियाँ हैं जो फ़ैशन को प्रमोट करती है वह,Project Officer,Yavatmal,Education and Research,फ़ास्ट फ़ैशन आये है और जो ब्रांड्स है जो सारी कंपनियाँ है जो फ़ैशन [bird_squawk] को प्रमोट करती है वो,8.031,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,फ़ास्ट [Fast] फ़ैशन [FAshion] आये हैं और जो ब्रांड्स [Brands] है जो सारी कंपनियाँ हैं जो फ़ैशन [bird_squawk] को प्रमोट [Promote] करती है वह
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_12_subchunk_1.wav,काफ़ी कम क्वालिटी और कम प्राइस में फ़ैशनेबल कपड़े अवेलेबल कराते हैं मार्केट्स में उसकी वजह से,Project Officer,Yavatmal,Education and Research,काफ़ी कम क्वालिटी और कम प्राइस में फ़ैशनेबल कपड़े [uhh] अवेलेबल कराते हैं मार्केट्स में उसकी वजह से,8.361,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,काफ़ी कम क्वालिटी [Quality] और कम प्राइस [Price] में फ़ैशनेबल [Fashionable] कपड़े [uhh] अवेलेबल [Available] कराते हैं मार्केट्स [Markets] में उसकी वजह से
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_13_subchunk_1.wav,जो फ़ैशन के ट्रेंड्स है वह चेंज वह बहुत बदलते रहते हैं हर दिन,Project Officer,Yavatmal,Education and Research,जो फ़ैशन के ट्रेंड्स है वो चेंज वो बहुत बदलते रहते हैं [uhh] हर दिन,5.439,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,जो फ़ैशन [Fashion] के ट्रेंड्स [Trends] है वह चेंज [Change] वह बहुत बदलते रहते हैं [uhh] हर दिन
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_14_subchunk_1.wav,एक एक हफ़्ते में जो फ़ैशन के ब्रांड्स है उनके जो दुकान है वहाँ पर हर जो एक,Project Officer,Yavatmal,Education and Research,एक एक हफ़्ते में [uhh] जो फ़ैशन के ब्रांड्स है उनके जो दुकान है वहाँ पे हर जो एक,8.148,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,एक एक हफ़्ते में [uhh] जो फ़ैशन [Fashion] के ब्रांड्स [Brands] है उनके जो दुकान है वहाँ पर हर जो एक
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_15_subchunk_1.wav,स्प्रिंग का अलग एक,Project Officer,Yavatmal,Education and Research,स्प्रिंग का अलग एक,4.076,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,स्प्रिंग [Spring] का अलग एक
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_16_subchunk_1.wav,सिलेक्शन या समर का सिलेक्शन ऐसा जो एक वेस्टर्न एक पश्चिमात्य,Project Officer,Yavatmal,Education and Research,सिलेक्शन या समर का सिलेक्शन ऐसा जो एक वेस्टर्न [uhh] एक पश्चिमात्य,6.591,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,सिलेक्शन [Selection] या समर [Summer] का सिलेक्शन [Selection] ऐसा जो एक वेस्टर्न [uhh] एक पश्चिमात्य
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_17_subchunk_1.wav,कपड़े पहनने का जो तरीका है वह ज़्यादा बढ़ता हुआ दिखाई दे रहा है जो की,Project Officer,Yavatmal,Education and Research,कपड़े पहनने का जो तरीका है वो ज़्यादा बढ़ता हुआ दिखाई दे रहा है जो की,4.383,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,कपड़े पहनने का जो तरीका है वह ज़्यादा बढ़ता हुआ दिखाई दे रहा है जो की
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_18_subchunk_1.wav,बदलते हुए फ़ैशन ट्रेंड को ज़्यादा प्रिफ़र करता है न की अच्छी क्वालिटी और लम्बा चलने वाले कपड़ों से बट,Project Officer,Yavatmal,Education and Research,बदलते हुए फ़ैशन ट्रेंड को ज़्यादा प्रिफ़र करता है ना की अच्छी क्वालिटी और लम्बा चलने वाले कपड़ों से बट,8.089,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,बदलते हुए फ़ैशन [Fashion] ट्रेंड [Trend] को ज़्यादा प्रिफ़र [Prefer] करता है न की अच्छी क्वालिटी [Quality] और लम्बा चलने वाले कपड़ों से बट [but]
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_19_subchunk_1.wav,पर ही इंडिया में मुझको एक चीज़ यह लगती है की कितना भी वेस्टर्न कपड़ों का इस्तेमाल रोज़ होता होगा,Project Officer,Yavatmal,Education and Research,पर ही इंडिया में मुझको एक चीज़ ये लगती है की कितना भी [uhh] वेस्टर्न [uhh] कपड़ों का इस्तेमाल रोज़ होता होगा,10.104,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,पर ही इंडिया [India] में मुझको एक चीज़ यह लगती है की कितना भी [uhh] वेस्टर्न [Western] [uhh] कपड़ों का इस्तेमाल रोज़ होता होगा
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_1_subchunk_1.wav,माँ जब कॉलेज में थी तब उनका,Project Officer,Yavatmal,Education and Research,माँ [uhh] जब कॉलेज में थी तब उनका,4.479,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,माँ [uhh] जब कॉलेज [College] में थी तब उनका
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_20_subchunk_1.wav,लोग जो है हमेशा ट्रेडिशनल कपड़ों,Project Officer,Yavatmal,Education and Research,लोग जो है [uhh] हमेशा ट्रेडिशनल कपड़ों,4.778,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,लोग जो है [uhh] हमेशा ट्रेडिशनल [Traditional] कपड़ों
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_21_subchunk_1.wav,को बहुत अच्छा मानते हैं और उनमें अच्छे दिखते भी हैं तो जैसे कुछ भी,Project Officer,Yavatmal,Education and Research,को [uhh] बहुत अच्छा मानते हैं और उनमें अच्छे दिखते भी हैं तो जैसे कुछ भी,8.5,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,को [uhh] बहुत अच्छा मानते हैं और उनमें अच्छे दिखते भी हैं तो जैसे कुछ भी
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_22_subchunk_1.wav,कल्चरल कार्यक्रम हो शादी हो कोई कॉलेज में कोई,Project Officer,Yavatmal,Education and Research,कल्चरल कार्यक्रम हो शादी हो [uhh] कोई कॉलेज में कोई,5.823,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,कल्चरल [Cultural] कार्यक्रम हो शादी हो [uhh] कोई कॉलेज [College] में कोई
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_23_subchunk_1.wav,फ़ेस्टिवल हो या फिर पूजा हो जो सारे स्वर्ण है जो सारे फ़ेस्टिवल्स है दिवाली है ईद है और,Project Officer,Yavatmal,Education and Research,फ़ेस्टिवल हो या फिर पूजा हो [uhh] [inhaling] जो सारे स्वर्ण है जो सारे [uhh] फ़ेस्टिवल्स है दिवाली [bird_squawk] है ईद है और,10.413,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,फ़ेस्टिवल [Festival] हो या फिर पूजा हो [uhh] [inhaling] जो सारे स्वर्ण है जो सारे [uhh] फ़ेस्टिवल्स [Festival] है दिवाली [bird_squawk] है ईद है और
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_24_subchunk_1.wav,यह सब में लोग ट्रेडिशनल कपड़े पहनना पसंद करते हैं,Project Officer,Yavatmal,Education and Research,ये सब में [uhh] लोग ट्रेडिशनल कपड़े पहनना पसंद करते हैं,5.055,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,यह सब में [uhh] लोग ट्रेडिशनल [Traditional] कपड़े पहनना पसंद करते हैं
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_25_subchunk_1.wav,और मुझे भी पसंद है अच्छे अलग अलग तरीके के,Project Officer,Yavatmal,Education and Research,और [uhh] मुझे भी पसंद है [uhh] अच्छे [bird_squawk] अलग अलग तरीके के,6.591,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,और [uhh] मुझे भी पसंद है [uhh] अच्छे [bird_squawk] अलग-अलग तरीके के
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_26_subchunk_1.wav,कपड़े पहनना और मुझे पर्सनली कुर्तीज और चिकनकारी का काम किया हुआ बहुत पसंद है,Project Officer,Yavatmal,Education and Research,[uhh] कपड़े पहनना और मुझे पर्सनली [uhh] कुर्तीज और चिकनकारी का काम किया हुआ बहुत पसंद है,8.223,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,[uhh] कपड़े पहनना और मुझे पर्सनली [Personally] [uhh] कुर्तीज [Kurtis] और चिकनकारी का काम किया हुआ बहुत पसंद है
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_27_subchunk_1.wav,और मैं चाहती हूँ की जो भारत के कारीगर हैं उनको भी बढ़ावा मिलना चाहिए इन सारी चीज़ों में और उससे बिज़नेस भी अच्छा होगा और इंडिया का फ़ैशन हर जगह पर पॉपुलर होना चाहिए,Project Officer,Yavatmal,Education and Research,और मैं चाहती हूँ की जो भारत के कारीगर हैं उनको भी बढ़ावा मिलना चाहिए इन सारी चीज़ों में और उससे बिज़नेस भी अच्छा होगा और इंडिया का फ़ैशन हर जगह पे [uhh] पॉपुलर होना चाहिए,15.519,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,और मैं चाहती हूँ की जो भारत के कारीगर हैं उनको भी बढ़ावा मिलना चाहिए इन सारी चीज़ों में और उससे बिज़नेस [Business] भी अच्छा होगा और इंडिया [India] का फ़ैशन [Fashion] हर जगह पर [uhh] पॉपुलर [Popular] होना चाहिए
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_28_subchunk_1.wav,यह एक है और मैं मोस्टली कपड़े,Project Officer,Yavatmal,Education and Research,ये एक है और मैं मोस्टली कपड़े,4.355,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,यह एक है और मैं मोस्टली [Mostly] कपड़े
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_29_subchunk_1.wav,मुझे मैं जब दिल्ली दिल्ली में थी मुझे जनपथ यह जगह थी जो पसंद आती थी पर यहाँ पर चेन्नई में,Project Officer,Yavatmal,Education and Research,मुझे मैं जब दिल्ली दिल्ली में थी मुझे जनपथ [uhh] ये जगह थी जो पसंद आती थी पर [bird_squawk] यहाँ पे चेन्नई में,8.223,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,मुझे मैं जब दिल्ली दिल्ली में थी मुझे जनपथ [uhh] यह जगह थी जो पसंद आती थी पर [bird_squawk] यहाँ पर चेन्नई में
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_2_subchunk_1.wav,जो ड्रेस पहनने का तरीका था वह अभी से काफ़ी अलग था बल्कि इतना समय उस चीज़ को हुआ नहीं है,Project Officer,Yavatmal,Education and Research,जो ड्रेस पहनने का तरीका था वो अभी से काफ़ी अलग था बल्कि इतना समय उस चीज़ को हुआ नहीं है,8.607,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,जो ड्रेस [Dress] पहनने का तरीका था वह अभी से काफ़ी अलग था बल्कि इतना समय उस चीज़ को हुआ नहीं है
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_30_subchunk_1.wav,एक पोंडी बाज़ार कर के जगह है जहाँ पर अच्छे कांजीवरम साड़िज मिलते हैं और नार्मल,Project Officer,Yavatmal,Education and Research,एक पोंडी बाज़ार कर के जगह है जहाँ पे अच्छे कांजीवरम [bird_squawk] साड़िज मिलते हैं और नार्मल,6.878,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,एक पोंडी बाज़ार कर के जगह है जहाँ पर अच्छे कांजीवरम [bird_squawk] साड़िज [Sarees] मिलते हैं और नार्मल [Normal]
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_31_subchunk_1.wav,रोज़ के जो कपड़े है वह मैं मॉल में खरीदना चेन्नई में एटलीस्ट पसंद करती हूँ,Project Officer,Yavatmal,Education and Research,रोज़ के जो कपड़े है वो मैं [uhh] मॉल में खरीदना चेन्नई में एटलीस्ट पसंद करती हूँ,7.146,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,रोज़ के जो कपड़े है वह मैं [uhh] मॉल [Mall] में खरीदना चेन्नई में एटलीस्ट [Atleast] पसंद करती हूँ
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_3_subchunk_1.wav,और मैं जब स्कूल में थी तब भी जब फ़ैशन था वह आज से काफ़ी बदला हुआ,Project Officer,Yavatmal,Education and Research,और मैं जब स्कूल में थी तब भी जब फ़ैशन था वो आज से काफ़ी बदला हुआ,7.744,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,और मैं जब स्कूल [School] में थी तब भी जब फ़ैशन [Fashion] था वह आज से काफ़ी बदला हुआ
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_4_subchunk_1.wav,दिखाई देता है एक बड़ा बदल जो मुझे लगता है वह है फ़ास्ट फ़ैशन,Project Officer,Yavatmal,Education and Research,दिखाई देता है एक बड़ा [umm] बदल जो मुझे लगता है वो है फ़ास्ट फ़ैशन,6.425,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,दिखाई देता है एक बड़ा [umm] बदल जो मुझे लगता है वह है फ़ास्ट [Fast] फ़ैशन [Fashion]
18-30,hi,White Collar,Female,Extempore,18-30,Icebreakers,9720900365812,Marathi,5348024557502778_f403_chunk_5_subchunk_1.wav,पहले उन कपड़ो को ज़्यादा महत्व दिया हो दिया करते थे जिन जो बहुत अच्छे क्वालटी के हैं बहुत अच्छा,Project Officer,Yavatmal,Education and Research,पहले [uhh] उन कपड़ो को ज़्यादा महत्व दिया हो दिया करते थे जिन जो बहुत अच्छे क्वालटी के हैं बहुत अच्छा,8.33,QC1_1_format_conversion,Maharashtra,Post Grad + PhD,Full Time,पहले [uhh] उन कपड़ो को ज़्यादा महत्व दिया हो दिया करते थे जिन जो बहुत अच्छे क्वालटी [Quality] के हैं बहुत अच्छा
