Filename,Indiconformer_Hypothesis,normalized_transcripts,domain
5348024557506875_f1267_chunk_0_subchunk_1.wav,पंजीकृत मोबाइल नंबर के लिए शैक्षणिक वर्ष से में आवेदन किये गए सभी ताजा छात्रवृत्ति आवेदन ढूंढे,पंजीकृत मोबाइल नंबर के लिए शैक्षणिक वर्ष से में आवेदन किये गए सभी ताजा छात्रवृत्ति आवेदन ढूंढे,शिक्षा
5348024557506411_f1901_chunk_0_subchunk_1.wav,क्या मुझे कोवैक्स टीका जिला धलाई में मिल सकता है,क्या मुझे कोवैक्स टीका जिला धलाई में मिल सकता है,स्वास्थ्य सेवा
5348024557506899_f603_chunk_2_subchunk_1.wav,भी काम करना पड़ रहा है मुझे पैसे इकट्ठे करने है फिर मुझे अपनी पढ़ाई करनी या फिर मुझे बात करनी होगी लोगों से कि रास्ता कैसे ठीक से चला जा सके आराम से,भी काम करना पड़ रहा है मुझे पैसे इकट्ठे करने है फिर मुझे अपनी पढ़ाई करनी या फिर मुझे बात करनी होगी लोगों से कि रास्ता कैसे ठीक से चला जा सके आराम से,"Based on the given Hindi transcript, the general domain of the speech dataset appears to be 'Conversation'. The speaker is discussing their personal life, struggles, and plans in an informal tone, which is typical of everyday conversations."
5348024557506565_f538_chunk_22_subchunk_1.wav,युवा पीढ़ी खेलकूद में अपना योगदान दे रहे हैं,युवा पीढ़ी खेलकूद में अपना योगदान दे रहे हैं,खेल
5348024557506383_f141_chunk_7_subchunk_1.wav,किसी भी प्रभाव या सेंसरशिप के बिना काम करने में सक्षम होते हैं और मीडिया आउटलेट्स के द्वारा,किसी भी प्रभाव या सेंसरशिप के बिना काम करने में सक्षम होते हैं और मीडिया आउटलेट्स के द्वारा,न्यूज़
5348024557506432_f127_chunk_20_subchunk_1.wav,किसी को खासी होगी किसी को छीक हो गई उवो सुनतेही दूसरे दूसरों के दड़कनी बढ़ती थी ह उसको कुछ हो गया हमको भी कुछ हो जाएगा ऐसा डर था,किसी को खासी होगी किसी को छीक हो गई उवो सुनतेही दूसरे दूसरों के दड़कनी बढ़ती थी ह उसको कुछ हो गया हमको भी कुछ हो जाएगा ऐसा डर था,"Based on the given Hindi transcript, the general domain of the speech dataset appears to be 'Conversation' or more specifically, 'Health Conversation' or 'Casual Conversation'. However, since the instruction is to return the domain as a one- or two-word phrase, I would categorize it as 'Conversation'. 

The transcript discusses someone's health issues, such as coughing and sneezing, and the fear of getting infected, which suggests an informal conversation about health-related topics."
5348024557506691_f1848_chunk_0_subchunk_1.wav,बी विशाल मिला एमवीएस मिले,बी विशाल मिला एमवीएस मिले,"Based on the given transcript, ""बी विशाल मिला एमवीएस मिले"", it appears to be a casual conversation or dialogue, possibly introducing or referring to individuals (बी विशाल and एमवीएस). 

The domain of this speech dataset can be classified as 'Conversation'."
5348024557506963_f94_chunk_15_subchunk_1.wav,कोई एक शिक्षक अपना विद्यालयीय समय में सही नहीं पढ़ाते हुए,कोई एक शिक्षक अपना विद्यालयीय समय में सही नहीं पढ़ाते हुए,शिक्षा
5348024557506158_f697_chunk_1_subchunk_1.wav,जीवसृष्टि है ऐसे कोई प्रमाण नहीं मिले है मंगल पे जीवसृष्टि होने की थीयरीज काफी दशकों से चलती आ रही है उसपें काफी किताबें भी लिखी गई है और काफी साइंसफिक्शन फेंटसी फिल्में भी बन चुकी है मार्शियन अटेक्स्टाइप की,जीवसृष्टि है ऐसे कोई प्रमाण नहीं मिले है मंगल पे जीवसृष्टि होने की थीयरीज काफी दशकों से चलती आ रही है उसपें काफी किताबें भी लिखी गई है और काफी साइंसफिक्शन फेंटसी फिल्में भी बन चुकी है मार्शियन अटेक्स्टाइप की,विज्ञान
5348024557506845_f748_chunk_1_subchunk_1.wav,कुछ गलतियां निकाल सकूं हालांकि अगर एक आमगायक की बात आती है तो वो होता है रियास जो मुझे लगता है कि हम,कुछ गलतियां निकाल सकूं हालांकि अगर एक आमगायक की बात आती है तो वो होता है रियास जो मुझे लगता है कि हम,Conversation
5348024557506520_f1739_chunk_0_subchunk_1.wav,मैं अपने खरीदारी कार्ड से प्रेशरडाइस्ट ब्रॉडबीनस और बेलाविटा ऑर्गैनिक आइलिफ्ट अंडराइ क्रेंचल हटाना चाहता हूं इनके अलावा ट्वेंटीफोर मंत्रा राइसफ्ला क्रेमिका मिक्सफ्रूट जैम को भी हटा दें,मैं अपने खरीदारी कार्ड से प्रेशरडाइस्ट ब्रॉडबीनस और बेलाविटा ऑर्गैनिक आइलिफ्ट अंडराइ क्रेंचल हटाना चाहता हूं इनके अलावा ट्वेंटीफोर मंत्रा राइसफ्ला क्रेमिका मिक्सफ्रूट जैम को भी हटा दें,ग्राहक सेवा
5348024557507295_f152_chunk_0_subchunk_1.wav,बस,बस,Conversation
5348024557507326_f1379_chunk_0_subchunk_1.wav,आज रात को पवन गिरी के बारे में पूर्वानुमान डूंडो,आज रात को पवन गिरी के बारे में पूर्वानुमान डूंडो,वेदर
5348024557506561_f537_chunk_7_subchunk_1.wav,कहता युग में,कहता युग में,"Based on the given transcript, ""कहता युग में"", it seems to be a poetic or philosophical phrase. However, with such a short transcript, it's challenging to determine the exact domain. 

Considering the language and style, a possible domain could be 'Philosophy' or 'Poetry', but given the limited context, a more general domain like 'Conversation' might also be applicable. 

Since the phrase appears to be more abstract and less conversational, I would lean towards 'Philosophy'."
5348024557507212_f1114_chunk_0_subchunk_1.wav,क्या बंचस का मेरा आर्डर बेच दिया गया है वह कब डेलवरी किया जाएगा,क्या बंचस का मेरा आर्डर बेच दिया गया है वह कब डेलवरी किया जाएगा,Customer Service
5348024557507001_f1995_chunk_0_subchunk_1.wav,गोपी जल्दी से नीचे आओ मुझे तुम्हें कुछ दिखाना है,गोपी जल्दी से नीचे आओ मुझे तुम्हें कुछ दिखाना है,Conversation
5348024557506619_f660_chunk_0_subchunk_1.wav,संपूर्ण बैंगलूरु में जलशुद्धिकरण संयंत्र जैसे सभी के लिए किफायती मूल्य पर शुद्ध जल उपलब्ध हो सके,संपूर्ण बैंगलूरु में जलशुद्धिकरण संयंत्र जैसे सभी के लिए किफायती मूल्य पर शुद्ध जल उपलब्ध हो सके,"वाटर ट्रीटमेंट या पानी शुद्धिकरण से संबंधित विषय पर चर्चा की जा रही है, लेकिन यह एक विशिष्ट क्षेत्र या स्थान (बैंगलूरु) पर केंद्रित है। इसलिए, इस प्रकार की बातचीत आमतौर पर सार्वजनिक सेवा या सामाजिक मुद्दों से संबंधित होती है। 

इसलिए, डोमेन है: 'सार्वजनिक सेवा' या 'सामाजिक मुद्दे', लेकिन एक या दो शब्दों में यह हो सकता है: 'सार्वजनिक' या 'सामाजिक', लेकिन अधिक उपयुक्त उत्तर होगा 'पानी प्रबंधन' या 'सार्वजनिक सेवा'। एक या दो शब्दों में, यह हो सकता है: 'पानी' या 'सेवा', लेकिन सबसे उपयुक्त उत्तर है: 'सार्वजनिक सेवा' को 'सेवा' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'पानी' या 'सार्वजनिक', लेकिन सबसे उपयुक्त उत्तर है: 'सार्वजनिक सेवा' को 'सेवा' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'पानी'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'नगर' या 'सेवा', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'सार्वजनिक सेवा' या 'नगर प्रशासन' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'सेवा' या 'नगर', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'सार्वजनिक सेवा' या 'नगर प्रशासन' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'सेवा' या 'नगर', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'सार्वजनिक सेवा' या 'नगर प्रशासन' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'सेवा' या 'नगर', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'सार्वजनिक सेवा' या 'नगर प्रशासन' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'सेवा' या 'नगर', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'सार्वजनिक सेवा' या 'नगर प्रशासन' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'सेवा' या 'नगर', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'सार्वजनिक सेवा' या 'नगर प्रशासन' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'सेवा' या 'नगर', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'सार्वजनिक सेवा' या 'नगर प्रशासन' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'सेवा' या 'नगर', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'सार्वजनिक सेवा' या 'नगर प्रशासन' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'सेवा' या 'नगर', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'सार्वजनिक सेवा' या 'नगर प्रशासन' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'सेवा' या 'नगर', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'सार्वजनिक सेवा' या 'नगर प्रशासन' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'सेवा' या 'नगर', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'सार्वजनिक सेवा' या 'नगर प्रशासन' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'सेवा' या 'नगर', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'सार्वजनिक सेवा' या 'नगर प्रशासन' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'सेवा' या 'नगर', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'सार्वजनिक सेवा' या 'नगर प्रशासन' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'सेवा' या 'नगर', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'सार्वजनिक सेवा' या 'नगर प्रशासन' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'सेवा' या 'नगर', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'सार्वजनिक सेवा' या 'नगर प्रशासन' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'सेवा' या 'नगर', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर'। 

लेकिन यहाँ पर एक और विकल्प है जो अधिक उपयुक्त हो सकता है: 'सार्वजनिक सेवा' या 'नगर प्रशासन' से संबंधित विषय हो सकता है, लेकिन एक या दो शब्दों में यह हो सकता है: 'सेवा' या 'नगर', लेकिन सबसे उपयुक्त उत्तर है: 'नगर प्रशासन' या 'सार्वजनिक सेवा' से संबंधित विषय हो सकता है: 'नगर प्रशासन' को 'नगर' में संक्षिप्त करना अधिक उपयुक्त नहीं होगा, इसलिए एक या दो शब्दों में यह हो सकता है: 'नगर प्रशासन' से संबंधित विषय हो सकता है: 'नगर"
