Filename,Indiconformer_Hypothesis,vocab_list
5348024557503451_f1329_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,उन सभी टीकाकरण केंड्रों को फिल्टर करें जो सशुल्क हैं और पहली डोज देते हैं,"['डोज', 'फिल्टर', 'करें', 'पहली', 'जो', 'देते', 'उन', 'हैं', 'को', 'टीकाकरण', 'सभी', 'सशुल्क', 'केंड्रों', 'और']"
5348024557503656_f273_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,बड़ा होता है और फिर उसके बाद क्या होता है मतलब वो बेसिकली एक जिंदगी का एक मतलब डेविड कॉपरफील के जिंदगी के ऊपर,"['ऊपर', 'बड़ा', 'बेसिकली', 'कॉपरफील', 'के', 'एक', 'होता', 'बाद', 'मतलब', 'फिर', 'डेविड', 'उसके', 'जिंदगी', 'वो', 'और', 'है', 'का', 'क्या']"
5348024557502784_f400_chunk_15_subchunk_1_QC1_1_format_conversion.wav,और मुझे ऐसा लगता है कि ये एक ताकत है कला के अंदर कि वो तुम्हें किसी सुंदर,"['अंदर', 'तुम्हें', 'के', 'एक', 'किसी', 'ताकत', 'ये', 'लगता', 'मुझे', 'कि', 'ऐसा', 'कला', 'सुंदर', 'वो', 'और', 'है']"
5348024557503536_f353_chunk_2_subchunk_1_QC1_4_silence_insertion.wav,जिसे यूनेस्को ने बयो रिजर्व,"['जिसे', 'ने', 'यूनेस्को', 'रिजर्व', 'बयो']"
5348024557503661_f632_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,इतनी सारी यूनिवर्सिटीज हैं,"['सारी', 'हैं', 'इतनी', 'यूनिवर्सिटीज']"
5348024557503484_f209_chunk_8_subchunk_1_QC1_4_silence_insertion.wav,फिर भी मुझे लगता है आज भी गांवं में ये सारी जो भी परथाएं हैं वो अभी तक चल रही हैं,"['चल', 'तक', 'जो', 'हैं', 'ये', 'लगता', 'फिर', 'मुझे', 'रही', 'गांवं', 'अभी', 'वो', 'में', 'परथाएं', 'भी', 'सारी', 'आज', 'है']"
5348024557503549_f580_chunk_6_subchunk_1_QC1_4_silence_insertion.wav,जब तक अब ई यहां तक कि मेरी दादी मां भी जब तक व वो किसी,"['यहां', 'मां', 'किसी', 'मेरी', 'भी', 'कि', 'व', 'ई', 'अब', 'वो', 'दादी', 'तक', 'जब']"
5348024557502778_f403_chunk_17_subchunk_1_QC1_1_format_conversion.wav,कपड़े पहने का जो तरीका है वो ज्यादा बढ़ता हुआ दिखाई दे रहै जो कि,"['कपड़े', 'तरीका', 'जो', 'ज्यादा', 'बढ़ता', 'दिखाई', 'रहै', 'कि', 'हुआ', 'दे', 'वो', 'पहने', 'है', 'का']"
5348024557503428_f206_chunk_6_subchunk_1_QC1_4_silence_insertion.wav,हेल्थकेयर,['हेल्थकेयर']
5348024557503365_f365_chunk_4_subchunk_1_QC1_3_sample_rate_reduction.wav,जोभी बाल्यू सम सीड़ कड़ रहे हैं उसकी वजह से पेंटिंग तो बन जाता था और,"['जोभी', 'रहे', 'वजह', 'तो', 'हैं', 'जाता', 'पेंटिंग', 'उसकी', 'कड़', 'सीड़', 'बाल्यू', 'बन', 'था', 'से', 'और', 'सम']"
5348024557502778_f403_chunk_5_subchunk_1_QC1_1_format_conversion.wav,पहले उन कपड़ों को ज्यादा महत्वदीया दिया करते थे जो बहुत अच्छे क्वालिटी के है बहुत अच्छा,"['कपड़ों', 'के', 'दिया', 'जो', 'ज्यादा', 'उन', 'अच्छे', 'क्वालिटी', 'करते', 'को', 'बहुत', 'थे', 'अच्छा', 'महत्वदीया', 'पहले', 'है']"
5348024557502910_f242_chunk_1_subchunk_1_QC1_1_format_conversion.mp3,पद्धतिवाली प्रोफाइल बनाने वाले देशों के स्टाम थे उन्हें इकट्ठा करते करने के समय मुझे काफी गर्भ महसूस हो रहा था,"['के', 'स्टाम', 'महसूस', 'था', 'रहा', 'करते', 'इकट्ठा', 'काफी', 'थे', 'समय', 'वाले', 'बनाने', 'पद्धतिवाली', 'देशों', 'उन्हें', 'हो', 'प्रोफाइल', 'मुझे', 'गर्भ', 'करने']"
5348024557503661_f632_chunk_4_subchunk_1_QC1_5_upsampling_simulation.wav,कॉलेजर यूनिवर्सिटीज है स्कूल की अगर बात किया जाए तो बहुत अच्छे अच्छे बैंगॉल मीडियम स्कूलस सी है जैसे नवनालअंदा साउथ प्ॉइंट,"['नवनालअंदा', 'अगर', 'बैंगॉल', 'जाए', 'अच्छे', 'बहुत', 'तो', 'मीडियम', 'है', 'स्कूल', 'प्ॉइंट', 'यूनिवर्सिटीज', 'कॉलेजर', 'किया', 'साउथ', 'सी', 'स्कूलस', 'जैसे', 'बात', 'की']"
5348024557502910_f242_chunk_0_subchunk_1_QC1_1_format_conversion.wav,मेरे पहले संग्रहित किे गए स्टाप एक छोटीसी संगठनी,"['संगठनी', 'स्टाप', 'एक', 'पहले', 'छोटीसी', 'किे', 'संग्रहित', 'मेरे', 'गए']"
5348024557502845_f262_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,सकाल बात् परंपरा को इतना स्टीकली फॉलो नहीं करते हैं,"['परंपरा', 'इतना', 'हैं', 'स्टीकली', 'को', 'करते', 'सकाल', 'फॉलो', 'बात्', 'नहीं']"
5348024557503596_f133_chunk_11_subchunk_1_QC1_5_upsampling_simulation.wav,नहीं करना पड़ता दूसरा चगा नहीं ढूँढ़ना पड़ता इसलिए हम लोग सारे लोग जैसेकि अकर फैमिली,"['पड़ता', 'दूसरा', 'लोग', 'अकर', 'सारे', 'फैमिली', 'हम', 'ढूँढ़ना', 'जैसेकि', 'करना', 'नहीं', 'इसलिए', 'चगा']"
5348024557503164_f900_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,मुझे यूए नम्बर ँ वाे ाते के लिए ईपीएफस्टेटमेंट चाहिए,"['के', 'वाे', 'ाते', 'ईपीएफस्टेटमेंट', 'चाहिए', 'यूए', 'मुझे', 'लिए', 'नम्बर', 'ँ']"
5348024557502906_f625_chunk_7_subchunk_1_QC1_1_format_conversion.wav,उच्चतर शिक्षा और स्वास्थ्य सुविधा सुविधाएँ मिल रही हैंऐतिहासिक घटनाओं के आधार पर कई बार विशेषसमुदाय के निवासियों पर,"['स्वास्थ्य', 'पर', 'सुविधा', 'के', 'कई', 'घटनाओं', 'सुविधाएँ', 'हैंऐतिहासिक', 'विशेषसमुदाय', 'शिक्षा', 'रही', 'उच्चतर', 'आधार', 'बार', 'और', 'निवासियों', 'मिल']"
5348024557502896_f496_chunk_5_subchunk_1_QC1_1_format_conversion.wav,दूसरा नीम के पत नीम के पते डायबिटिस में काफी लाभकारी होते हैं,"['के', 'डायबिटिस', 'दूसरा', 'नीम', 'हैं', 'पते', 'होते', 'लाभकारी', 'में', 'काफी', 'पत']"
5348024557503366_f114_chunk_3_subchunk_1_QC1_3_sample_rate_reduction.wav,थोड़ा फूलों का डिजाइन बनाना मुझे बहुत प्रसन्न है,"['बनाना', 'प्रसन्न', 'मुझे', 'है', 'डिजाइन', 'फूलों', 'बहुत', 'थोड़ा', 'का']"
5348024557502910_f242_chunk_2_subchunk_1_QC1_1_format_conversion.wav,क्योंकि वे मेरे लिए पहली बार किसी ऐसी कलारचना को अनुभव करने का मौका था आज यह संग्रह मेरे लिए एक,"['एक', 'कलारचना', 'था', 'वे', 'संग्रह', 'लिए', 'मेरे', 'का', 'क्योंकि', 'यह', 'पहली', 'किसी', 'को', 'ऐसी', 'अनुभव', 'मौका', 'करने', 'बार', 'आज']"
5348024557503460_f1333_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,बिल्ली,['बिल्ली']
5348024557502757_f2030_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,मुझे अपने फोन नंबर सेवनइन स्स वनफाइ जीरोसो सेवन के लिए कोविड वैक्सीन प्रमाण पत्र डाउनलोड करना है,"['के', 'कोविड', 'डाउनलोड', 'सेवनइन', 'सेवन', 'स्स', 'वैक्सीन', 'जीरोसो', 'मुझे', 'अपने', 'प्रमाण', 'लिए', 'वनफाइ', 'पत्र', 'है', 'करना', 'नंबर', 'फोन']"
5348024557502897_f251_chunk_11_subchunk_1_QC1_1_format_conversion.wav,समुद्री दुश्यों का आनंद लेने का अवसर मिलेगा और साथ ही नए रोजगार,"['रोजगार', 'ही', 'मिलेगा', 'समुद्री', 'आनंद', 'अवसर', 'नए', 'लेने', 'दुश्यों', 'साथ', 'और', 'का']"
5348024557502778_f403_chunk_11_subchunk_1_QC1_1_format_conversion.mp3,फास्ट फैशन आए है और जो ब्रांड्स है जो सारी कंपनियां हैं जो फैशन को प्रमोट करते है वो,"['फैशन', 'आए', 'जो', 'हैं', 'फास्ट', 'को', 'प्रमोट', 'करते', 'वो', 'ब्रांड्स', 'सारी', 'और', 'है', 'कंपनियां']"
5348024557503736_f1693_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,मॉकेन आलुटिकी इनाटूर आमलाहेरक्रिम और प्यूरामेट लिक्विट फूट कॉलर की मात्रा बदले क्योंकि उनकी वर्तमान मात्रा भंडर में नहीं है,"['उनकी', 'मॉकेन', 'और', 'आमलाहेरक्रिम', 'कॉलर', 'वर्तमान', 'फूट', 'क्योंकि', 'मात्रा', 'लिक्विट', 'में', 'नहीं', 'है', 'आलुटिकी', 'प्यूरामेट', 'बदले', 'भंडर', 'की', 'इनाटूर']"
5348024557503366_f114_chunk_7_subchunk_1_QC1_3_sample_rate_reduction.wav,एक ही फ्लबर को सेकेंड टाइम ्रॉल कर रहेथे तो भी ो उसी तरह नहीं निकल रहाए क्योंकि हमारे कलामिक्शिन के कारण जितना भी टइंटिंग हम करें उतनी धार तो अलग अलग ही दीख रहा या और मुझे वो करना बहुत प्रसंद है,"['दीख', 'के', 'एक', 'टाइम', '्रॉल', 'और', 'वो', 'रहेथे', 'करना', 'या', 'रहा', 'निकल', 'हमारे', 'उतनी', 'कर', 'बहुत', 'अलग', 'क्योंकि', 'ही', 'तो', 'टइंटिंग', 'को', 'धार', 'सेकेंड', 'कलामिक्शिन', 'तरह', 'नहीं', 'कारण', 'है', 'हम', 'प्रसंद', 'ो', 'करें', 'फ्लबर', 'मुझे', 'रहाए', 'जितना', 'भी', 'उसी']"
5348024557503367_f364_chunk_14_subchunk_1_QC1_3_sample_rate_reduction.wav,बहुत कुछ सीखना पड़ता है और उनके साथ बैठते सब कुछ समेटरीकल इमेज बनाना ो बहुत सीखना और उसके लिए पूरा ज्यादा मेहनत करना पड़ता है कि इसके लिए भी,"['कि', 'उसके', 'करना', 'पड़ता', 'पूरा', 'ज्यादा', 'बैठते', 'लिए', 'बहुत', 'बनाना', 'इसके', 'समेटरीकल', 'इमेज', 'कुछ', 'है', 'सीखना', 'सब', 'ो', 'मेहनत', 'उनके', 'भी', 'साथ', 'और']"
5348024557502784_f400_chunk_13_subchunk_1_QC1_1_format_conversion.mp3,तो एजपेंटर मुझे यह लगता है कि मेरा मैंने जो भी आज तक चित्र बनाए हैं वो ज्यादातर आसमान और पहाड़ और,"['जो', 'लगता', 'कि', 'वो', 'मेरा', 'आसमान', 'भी', 'ज्यादातर', 'एजपेंटर', 'चित्र', 'यह', 'बनाए', 'तो', 'हैं', 'पहाड़', 'है', 'मैंने', 'मुझे', 'तक', 'और', 'आज']"
5348024557502910_f242_chunk_12_subchunk_1_QC1_1_format_conversion.mp3,पृथ्वी के विभिन्न पहलुओं लों का महत्व समझने में मद की है,"['समझने', 'के', 'लों', 'महत्व', 'विभिन्न', 'पृथ्वी', 'मद', 'में', 'की', 'है', 'का', 'पहलुओं']"
5348024557502907_f252_chunk_0_subchunk_1_QC1_1_format_conversion.wav,रायगढ़ जिले में कई स्थानिक शिक्षा और अध्यापन के अवसर,"['अध्यापन', 'कई', 'के', 'रायगढ़', 'जिले', 'अवसर', 'शिक्षा', 'स्थानिक', 'में', 'और']"
5348024557503691_f1261_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,तीन,['तीन']
5348024557502908_f494_chunk_3_subchunk_1_QC1_1_format_conversion.mp3,निर्माण जो है वो मराठा साम्राज्य के महानायक चतरपति शिवाजी महाराज ने किया था,"['महानायक', 'के', 'महाराज', 'जो', 'ने', 'मराठा', 'किया', 'निर्माण', 'था', 'साम्राज्य', 'चतरपति', 'वो', 'है', 'शिवाजी']"
5348024557502832_f226_chunk_2_subchunk_1_QC1_1_format_conversion.mp3,मिनटो पिंको,"['पिंको', 'मिनटो']"
5348024557502832_f226_chunk_0_subchunk_1_QC1_1_format_conversion.wav,मेरा घर के पास पास लोगों का नाम है लकखी,"['पास', 'के', 'लोगों', 'लकखी', 'नाम', 'मेरा', 'घर', 'है', 'का']"
5348024557503534_f354_chunk_5_subchunk_1_QC1_4_silence_insertion.wav,ा पर अभी,"['ा', 'पर', 'अभी']"
5348024557503192_f254_chunk_5_subchunk_1_QC1_3_sample_rate_reduction.wav,बहुत अच्छा लगता है गाने के लिए उसलेँ,"['के', 'लगता', 'उसलेँ', 'लिए', 'गाने', 'अच्छा', 'बहुत', 'है']"
5348024557503734_f1694_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,मेरे उत्पाद के अरडर बायोटिक बायोआल्मंट आइक्रिम को दो पैकेट रंगीला क्रिेटिफ क्लेपेक से बदले,"['के', 'बायोटिक', 'बायोआल्मंट', 'बदले', 'क्रिेटिफ', 'को', 'आइक्रिम', 'क्लेपेक', 'अरडर', 'दो', 'रंगीला', 'से', 'पैकेट', 'मेरे', 'उत्पाद']"
5348024557503409_f30_chunk_6_subchunk_1_QC1_4_silence_insertion.wav,न,['न']
5348024557503656_f273_chunk_11_subchunk_1_QC1_5_upsampling_simulation.wav,तो फिर वो कैसे वो उसे बाहर निकालता है कहसे वो एक क्राइम की दुनिया में फंस जाता है और आखिरकार वो कैसे वहाँ से निकलके एक अच्छी जिंदगी,"['वहाँ', 'एक', 'कैसे', 'निकलके', 'वो', 'से', 'फंस', 'की', 'क्राइम', 'जाता', 'जिंदगी', 'तो', 'अच्छी', 'निकालता', 'में', 'आखिरकार', 'है', 'फिर', 'उसे', 'बाहर', 'और', 'दुनिया', 'कहसे']"
5348024557502897_f251_chunk_4_subchunk_1_QC1_1_format_conversion.mp3,जो महाराष्ट्र में पर्यटन और उद्योगों को बढ़ावा देने के लिए लिए महत्वपूर्ण हो सकता है इस विमान का नाम है सीहैरीय र जल और आकाश में यात्रा के लिए उपयुक्त होगा,"['महाराष्ट्र', 'उपयुक्त', 'के', 'जो', 'बढ़ावा', 'होगा', 'सीहैरीय', 'सकता', 'यात्रा', 'देने', 'लिए', 'का', 'उद्योगों', 'इस', 'पर्यटन', 'को', 'में', 'है', 'हो', 'जल', 'नाम', 'आकाश', 'विमान', 'र', 'और', 'महत्वपूर्ण']"
5348024557503604_f750_chunk_24_subchunk_1_QC1_5_upsampling_simulation.wav,और वोह अगर किसी का बदे है और,"['किसी', 'बदे', 'वोह', 'अगर', 'और', 'है', 'का']"
5348024557503365_f365_chunk_7_subchunk_1_QC1_3_sample_rate_reduction.wav,ऑफरीहन ब्रॉइंग में तो उतना सिमेटरी नहीं आ जाता हैतो किसी भी छूल को यूज करके बिना जो भी फ्री हैन ब्रॉइग है वो मुझे बहुत प्रसंन है करने के लिए,"['के', 'जो', 'ब्रॉइंग', 'बिना', 'वो', 'ब्रॉइग', 'हैन', 'आ', 'जाता', 'यूज', 'लिए', 'बहुत', 'फ्री', 'तो', 'किसी', 'को', 'प्रसंन', 'हैतो', 'में', 'नहीं', 'है', 'सिमेटरी', 'उतना', 'मुझे', 'ऑफरीहन', 'छूल', 'करके', 'भी', 'करने']"
5348024557503640_f503_chunk_1_subchunk_1_QC1_5_upsampling_simulation.wav,मेरे हेयरफॉल बढ़ गए मेरे डैन्रफ बढ़ गए पता नहीं क्या हुआ लेकिन य तेल मेरे लिए बिल्कुल भी कोई काम नहीं किया,"['बिल्कुल', 'य', 'किया', 'तेल', 'लेकिन', 'कोई', 'हेयरफॉल', 'क्या', 'बढ़', 'हुआ', 'लिए', 'काम', 'भी', 'नहीं', 'मेरे', 'गए', 'डैन्रफ', 'पता']"
5348024557503161_f1569_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,क्या आप अपने ईपीएस को पंजीकृत मोबाइल नं्बर ँ शून्य पर भेजा गया छह अंगों का,"['पंजीकृत', 'नं्बर', 'पर', 'ईपीएस', 'भेजा', 'अंगों', 'शून्य', 'मोबाइल', 'को', 'अपने', 'छह', 'आप', 'ँ', 'गया', 'का', 'क्या']"
5348024557503583_f464_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,जुलाई अक्टूबर दिसंबर,"['अक्टूबर', 'जुलाई', 'दिसंबर']"
5348024557503560_f1925_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,क्या अगर बत्तियां किसी अन्य ब्रांड में उपलब्ध है,"['किसी', 'उपलब्ध', 'अगर', 'ब्रांड', 'में', 'अन्य', 'है', 'बत्तियां', 'क्या']"
5348024557502778_f403_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,भारत का जो पहनावा है जो फैशन है वो काफी साल में बहुत बदलता हुआ दिखाई देता है जैसे अमेरी,"['फैशन', 'जो', 'भारत', 'दिखाई', 'बदलता', 'पहनावा', 'हुआ', 'जैसे', 'देता', 'वो', 'साल', 'काफी', 'में', 'बहुत', 'अमेरी', 'है', 'का']"
5348024557503361_f113_chunk_1_subchunk_1_QC1_3_sample_rate_reduction.wav,आप पेंसु केचिंग स्री हैं्रॉइंग और अमंडाला पेंटिंग डॉट अपेंसिंग सब कुछ में मुझे ही बहुत शॉट है आ तो कोविद के टाइम में जब मुझे ज्यादा ठाई मिला था उस समय मैंने खेरला मेरल पेंटिंग भी सीखा था और मिनवा खर के कुरियन पेटिंग एक है और मिन्वा पेटिग के बारे भी मैंने,"['के', 'उस', 'अमंडाला', 'एक', 'स्री', 'पेंटिंग', 'टाइम', 'था', 'भी', 'पेटिंग', 'जब', 'आ', 'बारे', 'खेरला', 'कुरियन', 'ज्यादा', 'ठाई', 'खर', 'हैं्रॉइंग', 'केचिंग', 'मिन्वा', 'बहुत', 'ही', 'समय', 'पेटिग', 'डॉट', 'मिला', 'तो', 'शॉट', 'सीखा', 'आप', 'में', 'मेरल', 'कुछ', 'है', 'सब', 'मैंने', 'मुझे', 'पेंसु', 'मिनवा', 'कोविद', 'और', 'अपेंसिंग']"
5348024557502874_f1513_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,मेरे ईपीएफ खाते से यूएन नम्बर के ाथ सभी अस्वीकृत दावों की सूची बनाए,"['के', 'यूएन', 'अस्वीकृत', 'बनाए', 'ाथ', 'दावों', 'खाते', 'सभी', 'सूची', 'नम्बर', 'से', 'ईपीएफ', 'की', 'मेरे']"
5348024557503141_f123_chunk_1_subchunk_1_QC1_3_sample_rate_reduction.wav,यह काफी बॉरग नहीं होगा जब भी आप उदास महसूस करें बस राप के आकाश में देखें और तो आपको खुश कर देंगे क्योंकि ये चीऐसी चीज है जो,"['खुश', 'के', 'जो', 'ये', 'होगा', 'महसूस', 'बस', 'जब', 'देखें', 'राप', 'चीऐसी', 'काफी', 'कर', 'उदास', 'क्योंकि', 'यह', 'तो', 'बॉरग', 'आप', 'में', 'आपको', 'चीज', 'नहीं', 'है', 'देंगे', 'करें', 'आकाश', 'भी', 'और']"
5348024557503604_f750_chunk_21_subchunk_1_QC1_5_upsampling_simulation.wav,तेल गर्म कर के उसके ऊपर से एकराव दोराव दोराउंड राउंन करके एक रोटी बनते उस सहम,"['ऊपर', 'के', 'उस', 'एक', 'तेल', 'बनते', 'रोटी', 'सहम', 'गर्म', 'उसके', 'दोराउंड', 'दोराव', 'राउंन', 'से', 'करके', 'कर', 'एकराव']"
5348024557503486_f36_chunk_4_subchunk_1_QC1_4_silence_insertion.wav,पैसा जो भी आया हो फिर भी उनको घर के कामों में उतना ही इनवॉल्ब होना पड़ता है वहां पे उनको कोई सपोर्ट करने वाला नहीं होता ै तो मुझे लगता है कि अभी ी उनको अपनी जो पोटेंशियल है वहां तक पहुंचने के लिए काफी मसक्त करनी पड़ती है,"['के', 'जो', 'लगता', 'कि', 'ी', 'तक', 'करनी', 'पड़ता', 'कामों', 'पड़ती', 'करने', 'वाला', 'लिए', 'सपोर्ट', 'काफी', 'अभी', 'वहां', 'पैसा', 'ही', 'होना', 'तो', 'होता', 'अपनी', 'में', 'घर', 'आया', 'मसक्त', 'नहीं', 'है', 'उनको', 'पोटेंशियल', 'हो', 'कोई', 'उतना', 'फिर', 'मुझे', 'ै', 'पहुंचने', 'पे', 'भी', 'इनवॉल्ब']"
5348024557502910_f242_chunk_6_subchunk_1_QC1_1_format_conversion.wav,वे मेरे लिए एक यात्रा का प्रतीक है और मेरे द्वारा अनुभव की गई सांस्कृतिक विविधताओं को याद दिलाते हैं,"['एक', 'गई', 'और', 'वे', 'यात्रा', 'लिए', 'याद', 'मेरे', 'का', 'दिलाते', 'प्रतीक', 'हैं', 'को', 'विविधताओं', 'है', 'अनुभव', 'सांस्कृतिक', 'द्वारा', 'की']"
5348024557502908_f494_chunk_6_subchunk_1_QC1_1_format_conversion.wav,जो रायगढ़ जिले में स्थित एक समुद्री किला है और प्रसिद्ध है,"['किला', 'प्रसिद्ध', 'रायगढ़', 'जो', 'जिले', 'एक', 'समुद्री', 'में', 'और', 'है', 'स्थित']"
5348024557503428_f206_chunk_5_subchunk_1_QC1_4_silence_insertion.wav,अगर हम महिलाओं की बात करें तो उनके लिए भी बहुत सारे कोर्सेस है जो जिसमें वो आगे बढ़ सकते हैं फॉर एग्जांपल हॉटिल मैनेजमेंट है टूरिज्म हैं,"['जो', 'सकते', 'कोर्सेस', 'अगर', 'वो', 'जिसमें', 'आगे', 'लिए', 'बहुत', 'हॉटिल', 'महिलाओं', 'तो', 'हैं', 'बढ़', 'एग्जांपल', 'है', 'हम', 'फॉर', 'करें', 'मैनेजमेंट', 'टूरिज्म', 'सारे', 'उनके', 'भी', 'बात', 'की']"
5348024557503497_f926_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,मुझे मेरे कार्यक्रमों के बारे में और बताए,"['के', 'मेरे', 'मुझे', 'कार्यक्रमों', 'में', 'बताए', 'और', 'बारे']"
